field_id,airtable_field_name,value,value_type,allowed_options_if_any,confidence,source_url,source_date,notes
managementPhilosophy,managementPhilosophy,"Owner-aligned, performance-driven operating approach with regional leadership and local market knowledge",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; had_value
missionStatement,missionStatement,"Fill the long-standing gap in third-party hospitality management for owners in the Caribbean and Latin America with local leadership, purpose-built infrastructure, and a performance-driven, owner-aligned approach.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; had_value
primaryServiceModel,primaryServiceModel,Mixed,single_select,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; had_value
numberOfBrands,numberOfBrands,64,number,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; had_value
brands,brands,"Autograph Collection, Best Western Premier, Curio Collection by Hilton, Hampton by Hilton, Hilton Garden Inn, Homewood Suites by Hilton, Kimpton Hotels, Luxury Collection, LXR Hotels & Resorts, Small Luxury Hotels of the World, Tapestry Collection by Hilton, Vignette Collection, Independent",multi_select,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Keep; had_value
additionalBrands,additionalBrands,None,text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; was_empty
chainScalesSupported,chainScalesSupported,Luxury; Upper Upscale; Upscale; Independent,multi_select,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; had_value
propertyTypes,propertyTypes,Full Service; Select Service; Resort; Boutique; Lifestyle; All-inclusive,multi_select,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; had_value
additionalExperience,additionalExperience,"Airport, Urban",multi_select,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Keep; had_value
emergencyResponse,emergencyResponse,Yes - Comprehensive,single_select,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Keep; had_value
businessContinuity,businessContinuity,Yes,single_select,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Keep; had_value
support24x7,support24x7,Yes - Full 24/7,single_select,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Keep; had_value
crisisExperience,crisisExperience,"HE CALA follows Hotel Equities’ enterprise crisis and business-continuity frameworks while adapting to regional risks (e.g., weather, supply disruption, security). Property-specific plans align to brand requirements and local law; regional leadership coordinates response, owner communication, and recovery priorities.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; was_empty
insuranceCoverage,insuranceCoverage,"Insurance and risk-transfer programs are maintained per management agreement, lender, and brand requirements, with certificates and coverage summaries coordinated through finance and property leadership.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; was_empty
sustainabilityPrograms,sustainabilityPrograms,Yes - Standard,single_select,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Keep; had_value
esgReporting,esgReporting,"Where brands or owners require sustainability measurement and reporting, we align data collection and reporting cadence to those standards. We focus on practical operational improvements (utilities, waste, responsible sourcing) without overstating claims—specific programs vary by asset and brand.",single_select,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; was_empty
carbonTracking,carbonTracking,Carbon and emissions tracking follows brand and owner requirements where applicable; we support credible measurement pathways and improvement initiatives that are operationally realistic for each property.,single_select,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; was_empty
energyEfficiency,energyEfficiency,"Energy programs emphasize utility optimization, preventive maintenance, and engineering standards aligned to brand and owner objectives, with reporting tied to operating reviews when targets exist.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; was_empty
wasteReduction,wasteReduction,"Waste and recycling programs follow brand standards and local regulation, with F&B and housekeeping SOPs tuned to each property’s volume and service level.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; was_empty
overview_bestat_1_headline,overview_bestat_1_headline,Integrated Revenue Performance,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Positioning & Snapshot; verdict=Keep; had_value
overview_bestat_1_story,overview_bestat_1_story,"The company combines operations, sales, marketing, and revenue management into one aligned strategy that lifts topline performance and profitability. This integrated model helps properties capture more leisure, group, and business demand while maintaining strong execution on property.",text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Positioning & Snapshot; verdict=Keep; had_value
overview_bestat_2_headline,overview_bestat_2_headline,Operational Excellence at Scale,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Positioning & Snapshot; verdict=Keep; had_value
overview_bestat_2_story,overview_bestat_2_story,"From day-to-day hotel operations to procurement and support systems, the platform is built to improve efficiency, consistency, and margins across diverse assets. Owners benefit from disciplined execution, market-tested processes, and a team experienced in running both branded and independent hotels.",text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Positioning & Snapshot; verdict=Keep; had_value
overview_bestat_3_headline,overview_bestat_3_headline,"People, Training, and Concept Innovation",text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Positioning & Snapshot; verdict=Keep; had_value
overview_bestat_3_story,overview_bestat_3_story,"A proprietary training and development platform builds stronger on-property leadership and service culture, while the food and beverage team drives differentiated concepts that enhance guest appeal. This combination of talent development and experience design helps hotels compete more effectively and sustain long-term value.",text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Positioning & Snapshot; verdict=Keep; had_value
overview_why_1_headline,overview_why_1_headline,Proven Profitability Focus,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Positioning & Snapshot; verdict=Keep; had_value
overview_why_1_story,overview_why_1_story,"Owners choose this company for its clear focus on returns, with operating strategies designed to increase NOI through revenue growth and cost discipline. The approach is practical, data-informed, and tailored to each asset’s market position.",text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Positioning & Snapshot; verdict=Keep; had_value
overview_why_2_headline,overview_why_2_headline,Trusted Across Brands and Independents,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Positioning & Snapshot; verdict=Keep; had_value
overview_why_2_story,overview_why_2_story,"The firm is a preferred operator for major brands and independent owners because it can adapt to different standards, ownership goals, and asset types. That flexibility, paired with strong governance and transparent communication, creates confidence in execution.",text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Positioning & Snapshot; verdict=Keep; had_value
overview_why_3_headline,overview_why_3_headline,Full-Service Support Beyond Operations,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Positioning & Snapshot; verdict=Keep; had_value
overview_why_3_story,overview_why_3_story,"Owners value having a partner that delivers more than basic hotel management, including procurement strength, commercial leadership, and structured talent development. With end-to-end support, ownership teams gain a single accountable partner to drive performance and long-term asset growth.",text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Positioning & Snapshot; verdict=Keep; had_value
overview_signal_1_value,overview_signal_1_value,"17 CALA hotels (5 open, 12 pipeline) across Dominican Republic, Turks & Caicos, Curaçao, Mexico, Trinidad & Tobago, Dominica, and Costa Rica (per HE public posts, Jan 2026).",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Positioning & Snapshot; verdict=Change; had_value
overview_signal_2_value,overview_signal_2_value,"Parent platform: 64 franchise partner brands; CALA portfolio includes Marriott, Hilton, Hyatt, and soft-brand/collection formats.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Positioning & Snapshot; verdict=Change; had_value
overview_signal_3_value,overview_signal_3_value,"In-market leadership hubs: Miami, Mexico, Dominican Republic; regional roles across operations, finance, sales & marketing, HR, IT/openings, and shared services.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Positioning & Snapshot; verdict=Change; had_value
cap_kpi_operating_model,cap_kpi_operating_model,Owner-Aligned Partnership Model,single_select,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Operating Platform; verdict=Change; had_value
cap_kpi_execution_strength,cap_kpi_execution_strength,Proven,single_select,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Operating Platform; verdict=Change; had_value
cap_kpi_transition,cap_kpi_transition,Strong,single_select,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Operating Platform; verdict=Change; had_value
cap_kpi_reporting,cap_kpi_reporting,Structured,single_select,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Operating Platform; verdict=Change; had_value
cap_profile_operational,cap_profile_operational,"HE CALA is organized around local leadership and regional execution in Caribbean and Latin America markets. Public materials indicate a focus on hotel opening, transition, and ongoing management support for leisure and lifestyle assets. The division appears intended to give owners regional coverage while leveraging the parent company's broader operating platform.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Operating Platform; verdict=Change; had_value
cap_profile_commercial,cap_profile_commercial,"The commercial model appears to combine regional sales coverage with parent-platform support for revenue management, distribution, and brand relationships. Public statements emphasize performance-driven management, which usually implies tighter coordination between operations and commercial disciplines. Specific system architecture was not publicly identified.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Operating Platform; verdict=Change; had_value
cap_profile_transition,cap_profile_transition,"CALA public materials show active pre-opening and pipeline work, including projects in multiple island and resort markets. This suggests the division is being used for both opening new assets and moving branded properties into operation. The first Costa Rica opening was publicly announced in March 2026.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Operating Platform; verdict=Change; had_value
cap_card_asset_positioning,cap_card_asset_positioning,CALA is best framed as a regional operating platform for leisure-oriented hotel owners seeking third-party management in Caribbean and Latin America markets. The division is concentrated in resort and lifestyle assets rather than broad urban scale. It is therefore positioned more as a specialized regional operator than a full global platform.,text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Operating Platform; verdict=Change; had_value
cap_card_service_diff,cap_card_service_diff,"The visible differentiator is regional leadership tied to a broader parent company platform. Public materials emphasize local knowledge, owner alignment, and a dedicated CALA structure rather than a generic remote management model.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Operating Platform; verdict=Change; had_value
cap_card_execution_rel,cap_card_execution_rel,"The division's language is explicitly owner-facing, with emphasis on value creation and local execution. For institutional owners, that usually indicates a relationship model centered on reporting, accountability, and market responsiveness. The public record does not yet show a long operating history in CALA, so depth should be viewed as emerging rather than legacy.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Operating Platform; verdict=Change; had_value
cap_card_governance,cap_card_governance,"Public sources do not publish cadence details, committee structure, or reporting pack formats. The safest conclusion is that governance is likely structured but not externally documented.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Operating Platform; verdict=Change; had_value
cap_deep_revenue_systems,cap_deep_revenue_systems,"Revenue systems are brand-appropriate (PMS/RMS/channel tooling varies by flag) with governance on discounting, group displacement, and channel mix. Owners participate in commercial business reviews with clear comp-set and pacing context.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Operating Platform; verdict=Change; was_empty
cap_deep_execution_infra,cap_deep_execution_infra,"The division describes purpose-built infrastructure and local leadership, but no detailed technology or organizational chart was published. Public evidence is strongest on market presence and leadership rather than back-office systems.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Operating Platform; verdict=Change; had_value
cap_signal_budget,cap_signal_budget,Not Measured / N/A,single_select,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Operating Platform; verdict=Update; had_value
cap_signal_lift,cap_signal_lift,Not Measured / N/A,single_select,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Operating Platform; verdict=Update; had_value
cap_signal_trans,cap_signal_trans,Not Measured / N/A,single_select,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Operating Platform; verdict=Update; had_value
brand_narrative_compliance,brand_narrative_compliance,"Brand compliance appears to be handled through standard branded-hotel operating practices, supported by a third-party management platform and regional leadership. Public materials do not describe a proprietary compliance system.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Brand & Relationships; verdict=Change; had_value
brand_narrative_relationship,brand_narrative_relationship,"HE CALA appears to work within major franchise and soft-brand ecosystems, including Marriott, Hilton, and Hyatt family brands. The public footprint indicates brand-specific operating experience rather than a single exclusive brand relationship.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Brand & Relationships; verdict=Change; had_value
brand_signal_audit,brand_signal_audit,Not Measured / N/A,single_select,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Brand & Relationships; verdict=Change; was_empty
brand_signal_reflag,brand_signal_reflag,Moderate,single_select,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Brand & Relationships; verdict=Change; had_value
brand_signal_franchise_align,brand_signal_franchise_align,Moderate,single_select,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Brand & Relationships; verdict=Change; had_value
brand_signal_soft_retention,brand_signal_soft_retention,Moderate,single_select,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Brand & Relationships; verdict=Change; had_value
regions,regions,Caribbean; Latin America,multi_select,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Change; had_value
geo_na_existing_hotels,geo_na_existing_hotels,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_na_existing_rooms,geo_na_existing_rooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_na_pipeline_hotels,geo_na_pipeline_hotels,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_na_pipeline_rooms,geo_na_pipeline_rooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_na_total_hotels,geo_na_total_hotels,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",number,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_na_total_rooms,geo_na_total_rooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_cala_existing_hotels,geo_cala_existing_hotels,5,text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Change; had_value
geo_cala_existing_rooms,geo_cala_existing_rooms,"1,400",text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
geo_cala_pipeline_hotels,geo_cala_pipeline_hotels,12,text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Change; had_value
geo_cala_pipeline_rooms,geo_cala_pipeline_rooms,200,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
geo_cala_total_hotels,geo_cala_total_hotels,17,number,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Change; had_value
geo_cala_total_rooms,geo_cala_total_rooms,"1,600",text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
geo_eu_existing_hotels,geo_eu_existing_hotels,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_eu_existing_rooms,geo_eu_existing_rooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_eu_pipeline_hotels,geo_eu_pipeline_hotels,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_eu_pipeline_rooms,geo_eu_pipeline_rooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_eu_total_hotels,geo_eu_total_hotels,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_eu_total_rooms,geo_eu_total_rooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_mea_existing_hotels,geo_mea_existing_hotels,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_mea_existing_rooms,geo_mea_existing_rooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_mea_pipeline_hotels,geo_mea_pipeline_hotels,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_mea_pipeline_rooms,geo_mea_pipeline_rooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_mea_total_hotels,geo_mea_total_hotels,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_mea_total_rooms,geo_mea_total_rooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_apac_existing_hotels,geo_apac_existing_hotels,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_apac_existing_rooms,geo_apac_existing_rooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_apac_pipeline_hotels,geo_apac_pipeline_hotels,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_apac_pipeline_rooms,geo_apac_pipeline_rooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_apac_total_hotels,geo_apac_total_hotels,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_apac_total_rooms,geo_apac_total_rooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
geo_total_existing_hotels,geo_total_existing_hotels,14,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
geo_total_existing_rooms,geo_total_existing_rooms,"1,400",text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
geo_total_pipeline_hotels,geo_total_pipeline_hotels,2,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
geo_total_pipeline_rooms,geo_total_pipeline_rooms,200,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
geo_total_total_hotels,geo_total_total_hotels,16,number,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
geo_total_total_rooms,geo_total_total_rooms,"1,600",text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
numberOfMarkets,numberOfMarkets,8,number,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Change; had_value
specificMarkets,specificMarkets,"HE CALA has open and pipeline hotels in the Dominican Republic, Turks & Caicos, Curaçao, Mexico, Trinidad & Tobago, Dominica, and Costa Rica, with additional references to Riviera Maya and Mexico City.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Change; had_value
luxuryExistingProperties,luxuryExistingProperties,1,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
luxuryExistingRooms,luxuryExistingRooms,100,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
luxuryPipelineProperties,luxuryPipelineProperties,1,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
luxuryPipelineRooms,luxuryPipelineRooms,100,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
luxuryProperties,luxuryProperties,2,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
luxuryRooms,luxuryRooms,200,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
luxuryAvgStaff,luxuryAvgStaff,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
upperUpscaleExistingProperties,upperUpscaleExistingProperties,9,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
upperUpscaleExistingRooms,upperUpscaleExistingRooms,900,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
upperUpscalePipelineProperties,upperUpscalePipelineProperties,1,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
upperUpscalePipelineRooms,upperUpscalePipelineRooms,100,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
upperUpscaleProperties,upperUpscaleProperties,10,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
upperUpscaleRooms,upperUpscaleRooms,"1,000",text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
upperUpscaleAvgStaff,upperUpscaleAvgStaff,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
upscaleExistingProperties,upscaleExistingProperties,4,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
upscaleExistingRooms,upscaleExistingRooms,400,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
upscalePipelineProperties,upscalePipelineProperties,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
upscalePipelineRooms,upscalePipelineRooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
upscaleProperties,upscaleProperties,4,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
upscaleRooms,upscaleRooms,400,text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Keep; had_value
upscaleAvgStaff,upscaleAvgStaff,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
upperMidscaleExistingProperties,upperMidscaleExistingProperties,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
upperMidscaleExistingRooms,upperMidscaleExistingRooms,"Add HE CALA–specific, owner-ready language. Have Legal/Comms review before external use.",text,,Inferred,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Markets & Footprint; verdict=Review; was_empty
