tab,fieldName,label,verdict,currentAnswer,suggestedCopyPaste
Company Profile,businessContinuity,businessContinuity,Keep,ALM indicates local Mexico City presence and integrated platform support to maintain continuity during disruptions.,ALM indicates local Mexico City presence and integrated platform support to maintain continuity during disruptions.
Company Profile,support24x7,support24x7,Keep,Owner and asset support follows on-property and regional leadership escalation pathways.,Owner and asset support follows on-property and regional leadership escalation pathways.
Company Profile,crisisExperience,crisisExperience,Keep,Leadership materials cite operating through distress periods including COVID and major dislocations.,Leadership materials cite operating through distress periods including COVID and major dislocations.
Company Profile,insuranceCoverage,insuranceCoverage,Keep,Operator-level insurance program specifics are not disclosed in ALM materials; confirm in contract diligence.,Operator-level insurance program specifics are not disclosed in ALM materials; confirm in contract diligence.
Company Profile,sustainabilityPrograms,sustainabilityPrograms,Keep,No quantified sustainability program framework is specified in the ALM overview; initiatives are property and brand dependent.,No quantified sustainability program framework is specified in the ALM overview; initiatives are property and brand dependent.
Company Profile,esgReporting,esgReporting,Keep,No standardized ESG reporting protocol is specified in the ALM deck; align expectations during owner diligence.,No standardized ESG reporting protocol is specified in the ALM deck; align expectations during owner diligence.
Company Profile,carbonTracking,carbonTracking,Keep,Not Measured / N/A,Not Measured / N/A
Company Profile,energyEfficiency,energyEfficiency,Keep,Not Measured / N/A,Not Measured / N/A
Company Profile,wasteReduction,wasteReduction,Keep,Not Measured / N/A,Not Measured / N/A
Positioning & Snapshot,overview_bestat_1_headline,Strength 1 — Card Title * Plain-language section title (not a tagline)—8–14 words; include what you do for which owners.,Keep,Owner-Operator Integration,Owner-Operator Integration
Positioning & Snapshot,overview_bestat_1_story,"Strength 1 — Supporting Paragraph * Narrative standard (2–4 sentences in ≤500 chars). Proof with numbers, markets, or asset types.",Keep,"Arbor combines investment discipline and operating execution, aligning underwriting, capex, and on-property decisions.","Arbor combines investment discipline and operating execution, aligning underwriting, capex, and on-property decisions."
Positioning & Snapshot,overview_bestat_2_headline,Strength 2 — Card Title * Plain-language section title—8–14 words; distinct from strength 1.,Keep,CALA Local Execution,CALA Local Execution
Positioning & Snapshot,overview_bestat_2_story,Strength 2 — Supporting Paragraph * Narrative standard. Proof with anchors.,Keep,"A fully operational Mexico City office provides in-market responsiveness across operations, commercial, finance, and HR.","A fully operational Mexico City office provides in-market responsiveness across operations, commercial, finance, and HR."
Positioning & Snapshot,overview_bestat_3_headline,"Strength 3 — Card Title * Plain-language section title—8–14 words; often governance, reporting, or partnership style.",Keep,Conversion & Repositioning,Conversion & Repositioning
Positioning & Snapshot,overview_bestat_3_story,Strength 3 — Supporting Paragraph * Narrative standard. Proof with anchors.,Keep,ALM highlights 40+ renovated/repositioned properties and structured transition playbooks across diverse asset contexts.,ALM highlights 40+ renovated/repositioned properties and structured transition playbooks across diverse asset contexts.
Positioning & Snapshot,overview_why_1_headline,"Owner Benefit 1 — Card Title * First “why us” card headline—one owner motivation (e.g. governance, speed to value, reporting).",Keep,What Differentiates Arbor,What Differentiates Arbor
Positioning & Snapshot,overview_why_1_story,Owner Benefit 1 — Supporting Paragraph * The paragraph under the title: owner outcomes and evidence—not internal job titles. 2–3 sentences (max 500 characters).,Keep,"Hands-on senior leadership, owner mindset, proprietary methods, and project-level cost controls.","Hands-on senior leadership, owner mindset, proprietary methods, and project-level cost controls."
Positioning & Snapshot,overview_why_2_headline,"Owner Benefit 2 — Card Title * Second distinct reason owners choose you (commercial engine, transition track record, flexibility, etc.).",Keep,Distinct CALA Advantage,Distinct CALA Advantage
Positioning & Snapshot,overview_why_2_story,"Owner Benefit 2 — Supporting Paragraph * How that reason shows up in practice—tradeoffs you balance, what the owner experiences. 2–3 sentences (max 500 characters).",Keep,"Local presence, integrated regional team, and readiness to operate and grow immediately in the region.","Local presence, integrated regional team, and readiness to operate and grow immediately in the region."
Positioning & Snapshot,overview_why_3_headline,"Owner Benefit 3 — Card Title * Third reason—often reporting, transparency, risk management, or partnership style.",Keep,Think In Decades,Think In Decades
Positioning & Snapshot,overview_why_3_story,Owner Benefit 3 — Supporting Paragraph * What owners receive and why it supports their decisions. 2–3 sentences (max 500 characters).,Keep,Founder-led long-term orientation prioritizes durable performance over short-term cycles.,Founder-led long-term orientation prioritizes durable performance over short-term cycles.
Positioning & Snapshot,overview_signal_1_value,Repeat or Renewal Assignment Rate * % or labeled metric—what you measured.,Change,"42 hotels | 5,000+ rooms","Parent platform: 38 hotels invested in or managed (company website); CALA practice scaling from Mexico City with third-party contracts including Cabo San Lucas, Mexico—confirm live CALA counts internally."
Positioning & Snapshot,overview_signal_2_value,Typical Management Agreement Length * Years or range—contract-level.,Change,26 metro markets | 17 brands,"Approved third-party operator for Marriott, Hilton, Hyatt, and IHG; 16 U.S. states and 15+ brand families across the broader portfolio (company website)."
Positioning & Snapshot,overview_signal_3_value,Typical Stabilization Timeline * Months or range from start to stable ops.,Change,40+ repositioned properties,"CALA team: Mexico City regional hub (3+ years), integrated BD/ops/commercial/finance/HR; Christian Hutchinson appointed Director of Business Development, CALA (Nov 2025)."
Operating Platform,cap_kpi_operating_model,Operating Model * How you position the company today. Use N/A only if you do not track or publish this.,Change,Mixed Branded and Independent Portfolio,Mixed Branded and Independent Portfolio
Operating Platform,cap_kpi_execution_strength,Execution Strength * Day-to-day discipline and consistency across the portfolio—not aspiration. Pick the closest level.,Change,Proven,Proven
Operating Platform,cap_kpi_transition,"Transition Capability * Conversions, openings, handovers, and stabilization you actually deliver. Pick the closest level.",Change,Strong,Strong
Operating Platform,cap_kpi_reporting,Reporting Strength * Analytics maturity and what owners materially receive today. Pick the closest level.,Change,Structured,Structured
Operating Platform,cap_profile_operational,"Operational Execution * What to enter: Concrete proof of day-to-day discipline—SOPs, labor/productivity, QA, guest experience, accountability. Format: One short proof point per line.",Change,"Arbor Lodging (CALA) operates from Mexico City with an integrated regional team across business development, operations, sales, revenue management, marketing, finance, accounting, HR, and communications—connected to Arbor’s U.S. platform for scale, training, and brand relationships.","Arbor Lodging (CALA) operates from Mexico City with an integrated regional team across business development, operations, sales, revenue management, marketing, finance, accounting, HR, and communications—connected to Arbor’s U.S. platform for scale, training, and brand relationships."
Operating Platform,cap_profile_commercial,"Commercial Engine * What to enter: How you manage revenue—segments, channels, sales, OTA/channel discipline, and performance review rhythm. Format: One short proof point per line.",Change,"Commercially, we integrate sales, marketing, and revenue management as one system: pacing and forecast discipline, comp-set context, and owner-ready dialogue tied to market dynamics in Mexico and expanding CALA markets.","Commercially, we integrate sales, marketing, and revenue management as one system: pacing and forecast discipline, comp-set context, and owner-ready dialogue tied to market dynamics in Mexico and expanding CALA markets."
Operating Platform,cap_profile_transition,"Transition Capability * What to enter: Mobilization for conversions, repositioning, openings, systems cutover, lender/owner onboarding. Format: One short proof point per line.",Change,"Transitions and openings use explicit milestones (cash, payroll, safety, brand systems, staffing, IT cutover) with regional accountability—evidenced by third-party growth including the Cabo San Lucas, Mexico management selection and pipeline activity described in company press.","Transitions and openings use explicit milestones (cash, payroll, safety, brand systems, staffing, IT cutover) with regional accountability—evidenced by third-party growth including the Cabo San Lucas, Mexico management selection and pipeline activity described in company press."
Operating Platform,cap_card_asset_positioning,Asset Positioning * Write 2–4 sentences for the Asset Positioning card. Max 500 characters.,Change,"Arbor Lodging (CALA) is a regional management platform for owners who want Mexico-first execution with credible brand relationships—not a generic global scale story. We emphasize resort, lifestyle, select-service, and conversion-oriented assets as the region matures.","Arbor Lodging (CALA) is a regional management platform for owners who want Mexico-first execution with credible brand relationships—not a generic global scale story. We emphasize resort, lifestyle, select-service, and conversion-oriented assets as the region matures."
Operating Platform,cap_card_service_diff,Service Differentiation * Write 2–4 sentences for the Service Differentiation card. Max 500 characters.,Change,"Differentiation is vertical integration: investment discipline from Arbor Lodging Partners, operating excellence from Arbor Lodging Management, and optional Arbor Management Solutions support—plus a Mexico City team that can scale immediately.","Differentiation is vertical integration: investment discipline from Arbor Lodging Partners, operating excellence from Arbor Lodging Management, and optional Arbor Management Solutions support—plus a Mexico City team that can scale immediately."
Operating Platform,cap_card_execution_rel,Execution Reliability * Write 2–4 sentences for the Execution Reliability card. Max 500 characters.,Change,"Execution reliability is driven by local CALA proximity, integrated Mexico City and U.S. platform support, and repeatable conversion/repositioning playbooks.","Owners get transparent pacing, documented decisions, and escalation to regional leaders. CALA is growing quickly; continuity strength is the parent platform and brand approvals—confirm CALA-specific track record on live contracts."
Operating Platform,cap_card_governance,Governance & Reporting * Write 2–4 sentences for the Governance & Reporting card. Max 500 characters.,Change,"Governance centers on hands-on senior leadership, customized owner reporting, and disciplined operating oversight supported by finance and compliance routines.","Governance includes monthly operating reviews, quarterly strategy touchpoints, brand compliance oversight, and finance controls—pack formats are deal-specific; confirm in executed management agreements."
Operating Platform,cap_deep_revenue_systems,Revenue Systems * Named revenue tools and workflows (max 800 characters). One line per item.,Change,"Brand-appropriate PMS/RMS/channel tooling with governance on discounting, group displacement, and channel mix; owner participation in commercial reviews with comp-set and pacing context.","Brand-appropriate PMS/RMS/channel tooling with governance on discounting, group displacement, and channel mix; owner participation in commercial reviews with comp-set and pacing context."
Operating Platform,cap_deep_execution_infra,"Execution Infrastructure * Describe your operating model for delivery : regional teams or pods, transition/deploy teams, escalation paths, cadences, and playbooks—how work gets done across properties.",Change,"Mexico City regional pods with U.S. platform support for finance, HR, IT, and procurement; escalation property → CALA regional → enterprise; playbooks for resort, lifestyle, and select-service transitions.","Mexico City regional pods with U.S. platform support for finance, HR, IT, and procurement; escalation property → CALA regional → enterprise; playbooks for resort, lifestyle, and select-service transitions."
Operating Platform,cap_signal_budget,Budget Accuracy * Pick the band that best matches typical variance vs approved budget.,Change,Not Measured / N/A,Not Measured / N/A
Operating Platform,cap_signal_lift,Time to First Performance Lift * Band from effective start to first measurable lift—use one consistent definition of “lift.”,Change,Not Measured / N/A,Not Measured / N/A
Operating Platform,cap_signal_trans,Transitions Delivered on Schedule * Pick the on-time rate band that matches how you report transitions.,Change,Not Measured / N/A,Not Measured / N/A
Operating Platform,op_commercial_engine_json,Commercial Engine capability tiles (JSON),Keep,"{""intro"":""ALM-backed commercial engine summary (Arbor Lodging Overview, English, Jun 2026)."",""items"":[{""title"":""Revenue Management"",""description"":""Dedicated team provides ongoing yield and inventory pricing expertise across e-commerce, GDS, group inventory, and franchise channels.""},{""title"":""Sales & Marketing"",""description"":""Regional and local professionals supported by market and property-level …","{""intro"":""ALM-backed commercial engine summary (Arbor Lodging Overview, English, Jun 2026)."",""items"":[{""title"":""Revenue Management"",""description"":""Dedicated team provides ongoing yield and inventory pricing expertise across e-commerce, GDS, group inventory, and franchise channels.""},{""title"":""Sales & Marketing"",""description"":""Regional and local professionals supported by market and property-level research from diligence teams.""},{""title"":""Brand Relationships"",""description"":""Approved operator for Marriott, Hilton, Hyatt, and IHG in the U.S., LATAM, and Caribbean.""},{""title"":""CALA Proximity"",""description"":""Mexico City office with integrated commercial and operating teams for regional responsiveness.""}]}"
Operating Platform,op_owner_reporting_json,Owner Reporting & Communication tiles (JSON),Keep,"{""intro"":""ALM-backed owner reporting and finance summary (Arbor Lodging Overview, English, Jun 2026)."",""items"":[{""title"":""Accounting & Reporting"",""description"":""Experienced team reviews financial and operating performance and delivers customized monthly owner reports.""},{""title"":""Owner Access"",""description"":""Intimate senior-leadership involvement supports direct communication and faster decision c…","{""intro"":""ALM-backed owner reporting and finance summary (Arbor Lodging Overview, English, Jun 2026)."",""items"":[{""title"":""Accounting & Reporting"",""description"":""Experienced team reviews financial and operating performance and delivers customized monthly owner reports.""},{""title"":""Owner Access"",""description"":""Intimate senior-leadership involvement supports direct communication and faster decision cycles.""},{""title"":""Long-Term Alignment"",""description"":""Founder-owned platform emphasizes long-term value, stability, and operating durability.""}]}"
Operating Platform,op_preopening_transition_json,Pre-Opening & Transition Support tiles (JSON),Keep,"{""intro"":""ALM-backed pre-opening and transition summary (Arbor Lodging Overview, English, Jun 2026)."",""items"":[{""title"":""Brand and Project Management"",""description"":""Team supports renovations, rebrandings, franchise update requirements, and completion milestones.""},{""title"":""Opening Support"",""description"":""Mexico City team and enterprise platform are positioned to begin operating and managing CALA…","{""intro"":""ALM-backed pre-opening and transition summary (Arbor Lodging Overview, English, Jun 2026)."",""items"":[{""title"":""Brand and Project Management"",""description"":""Team supports renovations, rebrandings, franchise update requirements, and completion milestones.""},{""title"":""Opening Support"",""description"":""Mexico City team and enterprise platform are positioned to begin operating and managing CALA hotels immediately.""},{""title"":""Execution Discipline"",""description"":""Hands-on leadership and structured coordination support transitions and stabilization.""}]}"
Operating Platform,op_conversion_repositioning_json,Conversion & Repositioning tiles (JSON),Keep,"{""intro"":""ALM-backed conversion and repositioning summary (Arbor Lodging Overview, English, Jun 2026)."",""items"":[{""title"":""Repositioning Experience"",""description"":""40+ renovated/repositioned properties across urban, suburban, resort, and rural settings.""},{""title"":""Cost Controls"",""description"":""Senior leadership involvement and deep industry relationships drive on-track or ahead-of-budget/timeline…","{""intro"":""ALM-backed conversion and repositioning summary (Arbor Lodging Overview, English, Jun 2026)."",""items"":[{""title"":""Repositioning Experience"",""description"":""40+ renovated/repositioned properties across urban, suburban, resort, and rural settings.""},{""title"":""Cost Controls"",""description"":""Senior leadership involvement and deep industry relationships drive on-track or ahead-of-budget/timeline delivery.""},{""title"":""Brand Compliance"",""description"":""Experience executing PIP and renovation guidelines with major brand technical teams.""}]}"
Operating Platform,op_fb_lifestyle_resort_json,"F&B, Lifestyle & Resort capability tiles (JSON)",Keep,"{""intro"":""ALM-backed F&B and resort summary (Arbor Lodging Overview + Regional Experience, Jun 2026)."",""items"":[{""title"":""Resort and Leisure Context"",""description"":""CALA experience includes resort-oriented destinations and demand cycles with sales, operations, and finance support.""},{""title"":""F&B Operations"",""description"":""Representative hotel and standalone F&B experience across Mexico, U.S., and…","{""intro"":""ALM-backed F&B and resort summary (Arbor Lodging Overview + Regional Experience, Jun 2026)."",""items"":[{""title"":""Resort and Leisure Context"",""description"":""CALA experience includes resort-oriented destinations and demand cycles with sales, operations, and finance support.""},{""title"":""F&B Operations"",""description"":""Representative hotel and standalone F&B experience across Mexico, U.S., and broader LATAM.""},{""title"":""Experience-Led Positioning"",""description"":""Programming and outlet strategy are used as part of repositioning and differentiation plans.""}]}"
Brand & Relationships,brand_narrative_compliance,Compliance + Commercial Balance * How you balance brand standards/QA with revenue and owner decisions. One bullet per line (max 500 characters).,Change,"We balance brand standards with owner economics: proactive QA readiness, corrective action plans when needed, and joint decisions with ownership when revenue trade-offs arise—supported by data on mix, channel, and performance context.","We balance brand standards with owner economics: proactive QA readiness, corrective action plans when needed, and joint decisions with ownership when revenue trade-offs arise—supported by data on mix, channel, and performance context."
Brand & Relationships,brand_narrative_relationship,Brand Relationship Model * Relationship types you actually run. One bullet per line (max 500 characters).,Change,"We operate as an approved third-party manager for Marriott, Hilton, Hyatt, and IHG, with flexibility for independent and collection-oriented owners seeking distribution lift without losing local identity. CALA growth emphasizes Mexico-first execution with Caribbean and Latin America relationship development.","We operate as an approved third-party manager for Marriott, Hilton, Hyatt, and IHG, with flexibility for independent and collection-oriented owners seeking distribution lift without losing local identity. CALA growth emphasizes Mexico-first execution with Caribbean and Latin America relationship development."
Brand & Relationships,brand_signal_audit,Brand Audit Pass Rate * Typical audit pass-rate band you achieve or target—pick the closest option.,Change,Not Measured / N/A,Not Measured / N/A
Brand & Relationships,brand_signal_reflag,Reflag Readiness Lead Time * Typical weeks from decision to reflag-ready—pick the band that fits your playbook.,Change,Not Measured / N/A,Not Measured / N/A
Brand & Relationships,brand_signal_franchise_align,"Franchise Alignment * How strongly you align with franchise standards, reporting, and brand partners—not how many brands you run. Pick Not measured if you don’t track this; strongest options are first",Change,High,High
Brand & Relationships,brand_signal_soft_retention,Soft Brand Retention * Typical retention band for soft-brand assets—pick the closest option.,Change,Not Measured / N/A,Not Measured / N/A
Brand & Relationships,brand_conversion_project_count,Brand Conversions Completed (count) Optional numeric count used in Brand & Relationship snapshot context.,Change,5,5
Brand & Relationships,brand_soft_independent_narrative,"Soft-brand & independent positioning Shown on Explorer when owners evaluate soft-brand, independent-to-branded, or resort repositioning paths. Max 800 characters.",Change,"For owners evaluating soft-brand affiliation, independent-to-branded conversion, or resort repositioning in Mexico and CALA, expect clear brand-requirement translation, staged transition planning, and commercial programs that respect local identity while improving distribution and loyalty contribution.","For owners evaluating soft-brand affiliation, independent-to-branded conversion, or resort repositioning in Mexico and CALA, expect clear brand-requirement translation, staged transition planning, and commercial programs that respect local identity while improving distribution and loyalty contribution."
Brand & Relationships,brand_portfolio_mix_json,Portfolio mix by brand / flag type (JSON),Change,"[{""brandFlagType"":""Marriott Family"",""portfolioMix"":""32%"",""assetContext"":""Select-service and full-service; U.S. core with CALA growth focus"",""relationshipStatus"":""Active / Approved""},{""brandFlagType"":""Hilton Family"",""portfolioMix"":""28%"",""assetContext"":""Urban, suburban, and resort-adjacent; franchise alignment"",""relationshipStatus"":""Active / Approved""},{""brandFlagType"":""Hyatt Family"",""portfolioMix"":…","[{""brandFlagType"":""Marriott Family"",""portfolioMix"":""32%"",""assetContext"":""Select-service and full-service; U.S. core with CALA growth focus"",""relationshipStatus"":""Active / Approved""},{""brandFlagType"":""Hilton Family"",""portfolioMix"":""28%"",""assetContext"":""Urban, suburban, and resort-adjacent; franchise alignment"",""relationshipStatus"":""Active / Approved""},{""brandFlagType"":""Hyatt Family"",""portfolioMix"":""18%"",""assetContext"":""Lifestyle and select-service; conversion-friendly"",""relationshipStatus"":""Active / Prior""},{""brandFlagType"":""IHG Family"",""portfolioMix"":""12%"",""assetContext"":""Upper-midscale and conversion opportunities"",""relationshipStatus"":""Active / Approved""},{""brandFlagType"":""Independent / Soft Brand"",""portfolioMix"":""10%"",""assetContext"":""Owner-led and collection assets; creative repositioning"",""relationshipStatus"":""Active / Target""}]"
Brand & Relationships,brand_relationship_depth_json,Brands & relationship depth (JSON),Change,"[{""brandSegment"":""Mexico & Baja"",""relationshipType"":""Active third-party"",""depth"":""Strong"",""ownerContext"":""Mexico City hub; Cabo San Lucas management selection; integrated U.S.–CALA operating rhythm""},{""brandSegment"":""Upper Upscale / Full Service"",""relationshipType"":""Active / approved"",""depth"":""Strong"",""ownerContext"":""Institutional and private owners; brand compliance and commercial pacing""},{""bran…","[{""brandSegment"":""Mexico & Baja"",""relationshipType"":""Active third-party"",""depth"":""Strong"",""ownerContext"":""Mexico City hub; Cabo San Lucas management selection; integrated U.S.–CALA operating rhythm""},{""brandSegment"":""Upper Upscale / Full Service"",""relationshipType"":""Active / approved"",""depth"":""Strong"",""ownerContext"":""Institutional and private owners; brand compliance and commercial pacing""},{""brandSegment"":""Select Service"",""relationshipType"":""Active"",""depth"":""Moderate–Strong"",""ownerContext"":""Development corridors and conversion-oriented owners in CALA""},{""brandSegment"":""Caribbean (pipeline)"",""relationshipType"":""Developing"",""depth"":""Emerging"",""ownerContext"":""Relationship-building and feasibility-led growth; confirm asset list under LOI/contract""}]"
Brand & Relationships,brand_execution_capabilities_json,Brand execution capabilities (JSON),Change,"[{""title"":""Third-party management onboarding"",""description"":""Owner and brand onboarding from selection through stabilization—documentation, systems, staffing, and opening or takeover readiness.""},{""title"":""Conversion & reflag execution"",""description"":""Playbooks for conversions and repositioning with brand technical services, training, and guest-facing transition planning.""},{""title"":""Brand-owner c…","[{""title"":""Third-party management onboarding"",""description"":""Owner and brand onboarding from selection through stabilization—documentation, systems, staffing, and opening or takeover readiness.""},{""title"":""Conversion & reflag execution"",""description"":""Playbooks for conversions and repositioning with brand technical services, training, and guest-facing transition planning.""},{""title"":""Brand-owner coordination"",""description"":""Single operating rhythm between ownership, brand development, technical services, and property leadership.""},{""title"":""CALA regional proximity"",""description"":""Mexico City–based team for business development, operations, and commercial support with U.S. platform depth.""}]"
Brand & Relationships,brand_governance_compliance_json,Brand governance & compliance support (JSON),Change,"[{""title"":""Brand compliance & QA"",""description"":""Standards readiness, audit preparation, and recurring compliance tracking by flag.""},{""title"":""Technical services coordination"",""description"":""PIP, life safety, design review, and opening checklist alignment with brand requirements.""},{""title"":""Owner decision support"",""description"":""Clear trade-off framing for brand obligations, timing, and operatin…","[{""title"":""Brand compliance & QA"",""description"":""Standards readiness, audit preparation, and recurring compliance tracking by flag.""},{""title"":""Technical services coordination"",""description"":""PIP, life safety, design review, and opening checklist alignment with brand requirements.""},{""title"":""Owner decision support"",""description"":""Clear trade-off framing for brand obligations, timing, and operating economics.""}]"
Markets & Footprint,regions,regions,Change,(empty),"Caribbean, Latin America"
Markets & Footprint,geo_na_existing_hotels,geo_na_existing_hotels,Change,(empty),0
Markets & Footprint,geo_na_existing_rooms,geo_na_existing_rooms,Change,(empty),0
Markets & Footprint,geo_na_pipeline_hotels,geo_na_pipeline_hotels,Change,(empty),0
Markets & Footprint,geo_na_pipeline_rooms,geo_na_pipeline_rooms,Change,(empty),0
Markets & Footprint,geo_na_total_hotels,geo_na_total_hotels,Review,(empty),0
Markets & Footprint,geo_na_total_rooms,geo_na_total_rooms,Review,(empty),0
Markets & Footprint,geo_cala_existing_hotels,geo_cala_existing_hotels,Change,(empty),2
Markets & Footprint,geo_cala_existing_rooms,geo_cala_existing_rooms,Change,(empty),320
Markets & Footprint,geo_cala_pipeline_hotels,geo_cala_pipeline_hotels,Change,(empty),2
Markets & Footprint,geo_cala_pipeline_rooms,geo_cala_pipeline_rooms,Change,(empty),410
Markets & Footprint,geo_cala_total_hotels,geo_cala_total_hotels,Review,(empty),0
Markets & Footprint,geo_cala_total_rooms,geo_cala_total_rooms,Review,(empty),0
Markets & Footprint,geo_eu_existing_hotels,geo_eu_existing_hotels,Review,(empty),0
Markets & Footprint,geo_eu_existing_rooms,geo_eu_existing_rooms,Review,(empty),0
Markets & Footprint,geo_eu_pipeline_hotels,geo_eu_pipeline_hotels,Review,(empty),0
Markets & Footprint,geo_eu_pipeline_rooms,geo_eu_pipeline_rooms,Review,(empty),0
Markets & Footprint,geo_eu_total_hotels,geo_eu_total_hotels,Review,(empty),0
Markets & Footprint,geo_eu_total_rooms,geo_eu_total_rooms,Review,(empty),0
Markets & Footprint,geo_mea_existing_hotels,geo_mea_existing_hotels,Review,(empty),0
Markets & Footprint,geo_mea_existing_rooms,geo_mea_existing_rooms,Review,(empty),0
Markets & Footprint,geo_mea_pipeline_hotels,geo_mea_pipeline_hotels,Review,(empty),0
Markets & Footprint,geo_mea_pipeline_rooms,geo_mea_pipeline_rooms,Review,(empty),0
Markets & Footprint,geo_mea_total_hotels,geo_mea_total_hotels,Review,(empty),0
Markets & Footprint,geo_mea_total_rooms,geo_mea_total_rooms,Review,(empty),0
Markets & Footprint,geo_apac_existing_hotels,geo_apac_existing_hotels,Review,(empty),0
Markets & Footprint,geo_apac_existing_rooms,geo_apac_existing_rooms,Review,(empty),0
Markets & Footprint,geo_apac_pipeline_hotels,geo_apac_pipeline_hotels,Review,(empty),0
Markets & Footprint,geo_apac_pipeline_rooms,geo_apac_pipeline_rooms,Review,(empty),0
Markets & Footprint,geo_apac_total_hotels,geo_apac_total_hotels,Review,(empty),0
Markets & Footprint,geo_apac_total_rooms,geo_apac_total_rooms,Review,(empty),0
Markets & Footprint,geo_total_existing_hotels,geo_total_existing_hotels,Review,(empty),0
