Slot Key,Title,Body,Sort Order
"valueOwners.lifecycle.3","","Pre-opening: hiring profile, training, systems cutover, and campaign readiness so opening demand meets the brand story.",2
"valueOwners.lifecycle.4","","Opening: rate integrity, channel mix targets, and service calibration with QA loops in the first 90–120 days.",3
"valueOwners.lifecycle.5","","Ramp-up: loyalty contribution, corporate linkage, and seasonal retail bursts tuned to the hotel’s demand calendar.",4
"valueOwners.lifecycle.6","","Ongoing: annual plan for capex, brand initiatives, and portfolio benchmarks—treat the flag as a commercial system, not a static logo.",5
"loyalty.hero_title","","Radisson — A Century Young · Loyalty & recognition (use the program name your disclosure specifies: Choice Privileges vs Radisson Rewards)",0
"loyalty.ecosystem","","Under Choice-affiliated positioning (common in Americas development materials), Radisson is shown with Choice Privileges as the loyalty engine powering recognition and direct-channel narratives. Where Radisson Hotel Group program materials apply, the story may center Radisson Rewards instead. Owners should anchor on repeat stays and direct mix using the program name and rules in their franchise disclosure—never swap labels between markets without Legal/Comms review.",0
"loyalty.owner_lens","","Position loyalty as net contribution after costs—member discounts, channel mix, fulfillment for recognition benefits, and F&B scope that matches the brand lane. The one-pager efficiency story (labor, minimal F&B where applicable, maintainable rooms) should reconcile with how you model loyalty cost per stay.",0
"loyalty.proof","Repeat Guest Capture","Recognition and earn/redeem mechanics that lift second and third stays in corridors where the brand’s retail story is already familiar—tie to published program docs for your market.",0
"loyalty.proof","Direct Channel & Member Pricing","Portfolio retail paths and member constructs that defend contribution versus high-commission intermediaries—airport, convention, and urban sets called out in regional decks.",1
"loyalty.proof","Elite Member Value","Tier benefits that support upscale positioning when fulfillment is consistent—upgrades where available, recognition moments, and predictable policy communication.",2
"loyalty.proof","Cross-Brand Traveler Flow","Cross-brand recognition within the Choice Hotels portfolio where Choice-affiliated positioning applies; otherwise align cross-brand language to Radisson Hotel Group disclosures.",3
"loyalty.proof","Corporate & SME Pull","Account linkage and negotiated transient patterns where corporate and small-meeting mix supports midweek compression.",4
"loyalty.proof","Campaign Scale","Seasonal retail bursts and partner campaigns that keep the program visible in consideration sets—especially when paired with strong property-level execution.",5
"loyalty.earn","","Base earn on eligible spend (room and qualifying charges) with member recognition on direct paths.
Promotional accelerators during campaign windows—use illustrative examples only in owner decks.
Partners and cobrand scale vary by market; cite only what your corporate team authorizes for that asset class.",0
"loyalty.redeem","","Award nights and points-based redemptions on retail paths where enabled—pricing is demand-responsive; avoid hard guarantees in diligence.
Cash-and-points style constructs where offered—always label as market-dependent.
Experiences and partner redemptions—use for storytelling, not audited economics.",0
"loyalty.elite","Club Member","Entry tier with member rates and baseline recognition—foundation for repeat stays and direct contribution when fulfillment is crisp.",0
"loyalty.elite","Premium Member","Elevated earn and recognition versus base—owners should stress consistent elite fulfillment (upgrades, arrival experience) to protect reviews and rate.",1
"loyalty.elite","VIP Member","Top-tier recognition—tier names and benefits follow the active program in your market (Choice Privileges vs Radisson Rewards per disclosure); cite only published tables.",2
"loyalty.implications.pnl","","Model loyalty after distribution costs, member discounts, and redemption assumptions—Radisson pitches are strongest when contribution is shown net, with scenarios for OTA-heavy vs balanced channel mix.",0
"loyalty.implications.ops","","Elite recognition, arrival experience, and app-led journeys are where promises become P&L—understaffed or inconsistent fulfillment erodes the same ADR the program is supposed to protect.",0
"loyalty.implications.systems","","Participation implies CRS/PMS alignment and campaign tooling—relevant for owners comparing Radisson to staying independent or soft-flag alternatives.",0
