operator_master_record_id,operator_name,my_operator_tab,form_field_key,airtable_table,airtable_field_name,value_type,allowed_options,displayed_in_operator_explorer,operator_explorer_section,field_purpose,example_value_for_template,current_value_in_system,suggested_value_verdict,where_to_enter,canonical_writer_mapped,coverage_status,notes
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,brands,Operator Setup - Profile & Positioning,brands,multi_select,,Partial,G. Brand / Portfolio Experience | Tab: G. Brand / Portfolio Experience,Which brands the operator manages; drives Explorer brand portfolio and logos.,"Autograph Collection, Best Western Premier, Curio Collection by Hilton, Hampton by Hilton, Hilton Garden Inn, Homewood Suites by Hilton, Kimpton Hotels, Luxury Collection, LXR Hotels & Resorts, Small Luxury Hotels of the World, Tapestry Collection by Hilton, Vignette Collection","Autograph Collection, Best Western Premier, Curio Collection by Hilton, Hampton by Hilton, Hilton Garden Inn, Homewood Suites by Hilton, Kimpton Hotels, Luxury Collection, LXR Hotels & Resorts, Small Luxury Hotels of the World, Tapestry Collection by Hilton, Vignette Collection, Independent",Keep,Company Profile,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,additionalBrands,Operator Setup - Profile & Positioning,additionalBrands,text,,No,—,Which brands the operator manages; drives Explorer brand portfolio and logos.,None,,Change,Company Profile,no,Legacy Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,chainScalesSupported,Operator Setup - Profile & Positioning,chainScalesSupported,multi_select,,Yes,C. Operating Profile | Tab: C. Operating Profile | H. Alignment Context (dealId),Populates Operator Explorer: C. Operating Profile | Tab: C. Operating Profile | H. Alignment Context (dealId).,Luxury; Upper Upscale; Upscale; Independent,"Luxury, Upper Upscale, Upscale",Change,Company Profile,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,propertyTypes,Operator Setup - Profile & Positioning,propertyTypes,multi_select,,No,A. Profile Snapshot,My Operator intake (Company Profile); Phase B2 — extend new-base writer.,Full Service; Select Service; Resort; Boutique; Lifestyle; All-inclusive,"Full Service, Select Service, Resort, Boutique, Lifestyle",Change,Company Profile,no,Legacy Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,additionalExperience,Operator Setup - Profile & Positioning,additionalExperience,multi_select,,No,—,My Operator intake (Company Profile); Phase Setup UI + B2 writer mapping.,"Airport, Urban","Airport, Urban",Keep,Company Profile,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,emergencyResponse,Operator Setup - Profile & Positioning,emergencyResponse,single_select,,No,—,My Operator intake (Company Profile); Phase Setup UI + B2 writer mapping.,Yes - Comprehensive,Yes - Comprehensive,Keep,Company Profile,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,businessContinuity,Operator Setup - Profile & Positioning,businessContinuity,single_select,,No,—,My Operator intake (Company Profile); Phase Setup UI + B2 writer mapping.,Yes,Yes,Keep,Company Profile,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,support24x7,Operator Setup - Profile & Positioning,support24x7,single_select,,No,—,My Operator intake (Company Profile); Phase Setup UI + B2 writer mapping.,Yes - Full 24/7,Yes - Full 24/7,Keep,Company Profile,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,crisisExperience,Operator Setup - Profile & Positioning,crisisExperience,text,,No,—,My Operator intake (Company Profile); Phase Setup UI + B2 writer mapping.,"HE CALA follows Hotel Equities’ enterprise crisis and business-continuity frameworks while adapting to regional risks (e.g., weather, supply disruption, security). Property-specific plans align to brand requirements and local law; regional leadership coordinates response, owner communication, and recovery priorities.",,Change,Company Profile,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,insuranceCoverage,Operator Setup - Profile & Positioning,insuranceCoverage,text,,No,—,My Operator intake (Company Profile); Phase Setup UI + B2 writer mapping.,"Insurance and risk-transfer programs are maintained per management agreement, lender, and brand requirements, with certificates and coverage summaries coordinated through finance and property leadership.",,Change,Company Profile,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,sustainabilityPrograms,Operator Setup - Profile & Positioning,sustainabilityPrograms,single_select,,No,—,My Operator intake (Company Profile); Phase Setup UI + B2 writer mapping.,Yes - Standard,Yes - Standard,Keep,Company Profile,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,esgReporting,Operator Setup - Profile & Positioning,esgReporting,single_select,,No,—,My Operator intake (Company Profile); Phase Setup UI + B2 writer mapping.,"Where brands or owners require sustainability measurement and reporting, we align data collection and reporting cadence to those standards. We focus on practical operational improvements (utilities, waste, responsible sourcing) without overstating claims—specific programs vary by asset and brand.",,Change,Company Profile,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,carbonTracking,Operator Setup - Profile & Positioning,carbonTracking,single_select,,No,—,My Operator intake (Company Profile); Phase Setup UI + B2 writer mapping.,Carbon and emissions tracking follows brand and owner requirements where applicable; we support credible measurement pathways and improvement initiatives that are operationally realistic for each property.,,Change,Company Profile,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,energyEfficiency,Operator Setup - Profile & Positioning,energyEfficiency,text,,No,—,My Operator intake (Company Profile); Phase Setup UI + B2 writer mapping.,"Energy programs emphasize utility optimization, preventive maintenance, and engineering standards aligned to brand and owner objectives, with reporting tied to operating reviews when targets exist.",,Change,Company Profile,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,wasteReduction,Operator Setup - Profile & Positioning,wasteReduction,text,,No,—,My Operator intake (Company Profile); Phase Setup UI + B2 writer mapping.,"Waste and recycling programs follow brand standards and local regulation, with F&B and housekeeping SOPs tuned to each property’s volume and service level.",,Change,Company Profile,no,Static Form Only,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Positioning & Snapshot,overview_bestat_1_headline,Operator Setup - Profile & Positioning,overview_bestat_1_headline,text,,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,Owner-facing narrative on Explorer Overview (What they are best at / Why owners consider).,Integrated Revenue Performance,Integrated Revenue Performance,Keep,Positioning & Snapshot,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Positioning & Snapshot,overview_bestat_1_story,Operator Setup - Profile & Positioning,overview_bestat_1_story,text,,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,Owner-facing narrative on Explorer Overview (What they are best at / Why owners consider).,"The company combines operations, sales, marketing, and revenue management into one aligned strategy that lifts topline performance and profitability. This integrated model helps properties capture more leisure, group, and business demand while maintaining strong execution on property.","The company combines operations, sales, marketing, and revenue management into one aligned strategy that lifts topline performance and profitability. This integrated model helps properties capture more leisure, group, and business demand while maintaining strong execution on property.",Keep,Positioning & Snapshot,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Positioning & Snapshot,overview_bestat_2_headline,Operator Setup - Profile & Positioning,overview_bestat_2_headline,text,,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,Owner-facing narrative on Explorer Overview (What they are best at / Why owners consider).,Operational Excellence at Scale,Operational Excellence at Scale,Keep,Positioning & Snapshot,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Positioning & Snapshot,overview_bestat_2_story,Operator Setup - Profile & Positioning,overview_bestat_2_story,text,,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,Owner-facing narrative on Explorer Overview (What they are best at / Why owners consider).,"From day-to-day hotel operations to procurement and support systems, the platform is built to improve efficiency, consistency, and margins across diverse assets. Owners benefit from disciplined execution, market-tested processes, and a team experienced in running both branded and independent hotels.","From day-to-day hotel operations to procurement and support systems, the platform is built to improve efficiency, consistency, and margins across diverse assets. Owners benefit from disciplined execution, market-tested processes, and a team experienced in running both branded and independent hotels.",Keep,Positioning & Snapshot,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Positioning & Snapshot,overview_bestat_3_headline,Operator Setup - Profile & Positioning,overview_bestat_3_headline,text,,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,Owner-facing narrative on Explorer Overview (What they are best at / Why owners consider).,"People, Training, and Concept Innovation","People, Training, and Concept Innovation",Keep,Positioning & Snapshot,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Positioning & Snapshot,overview_bestat_3_story,Operator Setup - Profile & Positioning,overview_bestat_3_story,text,,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,Owner-facing narrative on Explorer Overview (What they are best at / Why owners consider).,"A proprietary training and development platform builds stronger on-property leadership and service culture, while the food and beverage team drives differentiated concepts that enhance guest appeal. This combination of talent development and experience design helps hotels compete more effectively and sustain long-term value.","A proprietary training and development platform builds stronger on-property leadership and service culture, while the food and beverage team drives differentiated concepts that enhance guest appeal. This combination of talent development and experience design helps hotels compete more effectively and sustain long-term value.",Keep,Positioning & Snapshot,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Positioning & Snapshot,overview_why_1_headline,Operator Setup - Profile & Positioning,overview_why_1_headline,text,,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,Owner-facing narrative on Explorer Overview (What they are best at / Why owners consider).,Proven Profitability Focus,Proven Profitability Focus,Keep,Positioning & Snapshot,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Positioning & Snapshot,overview_why_1_story,Operator Setup - Profile & Positioning,overview_why_1_story,text,,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,Owner-facing narrative on Explorer Overview (What they are best at / Why owners consider).,"Owners choose this company for its clear focus on returns, with operating strategies designed to increase NOI through revenue growth and cost discipline. The approach is practical, data-informed, and tailored to each asset’s market position.","Owners choose this company for its clear focus on returns, with operating strategies designed to increase NOI through revenue growth and cost discipline. The approach is practical, data-informed, and tailored to each asset’s market position.",Keep,Positioning & Snapshot,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Positioning & Snapshot,overview_why_2_headline,Operator Setup - Profile & Positioning,overview_why_2_headline,text,,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,Owner-facing narrative on Explorer Overview (What they are best at / Why owners consider).,Trusted Across Brands and Independents,Trusted Across Brands and Independents,Keep,Positioning & Snapshot,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Positioning & Snapshot,overview_why_2_story,Operator Setup - Profile & Positioning,overview_why_2_story,text,,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,Owner-facing narrative on Explorer Overview (What they are best at / Why owners consider).,"The firm is a preferred operator for major brands and independent owners because it can adapt to different standards, ownership goals, and asset types. That flexibility, paired with strong governance and transparent communication, creates confidence in execution.","The firm is a preferred operator for major brands and independent owners because it can adapt to different standards, ownership goals, and asset types. That flexibility, paired with strong governance and transparent communication, creates confidence in execution.",Keep,Positioning & Snapshot,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Positioning & Snapshot,overview_why_3_headline,Operator Setup - Profile & Positioning,overview_why_3_headline,text,,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,Owner-facing narrative on Explorer Overview (What they are best at / Why owners consider).,Full-Service Support Beyond Operations,Full-Service Support Beyond Operations,Keep,Positioning & Snapshot,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Positioning & Snapshot,overview_why_3_story,Operator Setup - Profile & Positioning,overview_why_3_story,text,,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,Owner-facing narrative on Explorer Overview (What they are best at / Why owners consider).,"Owners value having a partner that delivers more than basic hotel management, including procurement strength, commercial leadership, and structured talent development. With end-to-end support, ownership teams gain a single accountable partner to drive performance and long-term asset growth.","Owners value having a partner that delivers more than basic hotel management, including procurement strength, commercial leadership, and structured talent development. With end-to-end support, ownership teams gain a single accountable partner to drive performance and long-term asset growth.",Keep,Positioning & Snapshot,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Positioning & Snapshot,overview_signal_1_value,Operator Setup - Profile & Positioning,overview_signal_1_value,text,,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,Owner-facing narrative on Explorer Overview (What they are best at / Why owners consider).,"17 CALA hotels (5 open, 12 pipeline) across Dominican Republic, Turks & Caicos, Curaçao, Mexico, Trinidad & Tobago, Dominica, and Costa Rica (per HE public posts, Jan 2026).",,Change,Positioning & Snapshot,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Positioning & Snapshot,overview_signal_2_value,Operator Setup - Profile & Positioning,overview_signal_2_value,text,,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,Owner-facing narrative on Explorer Overview (What they are best at / Why owners consider).,"Parent platform: 64 franchise partner brands; CALA portfolio includes Marriott, Hilton, Hyatt, and soft-brand/collection formats.",,Change,Positioning & Snapshot,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Positioning & Snapshot,overview_signal_3_value,Operator Setup - Profile & Positioning,overview_signal_3_value,text,,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,Owner-facing narrative on Explorer Overview (What they are best at / Why owners consider).,"In-market leadership hubs: Miami, Mexico, Dominican Republic; regional roles across operations, finance, sales & marketing, HR, IT/openings, and shared services.",,Change,Positioning & Snapshot,no,Static Form Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Operating Platform,cap_kpi_operating_model,Operator Setup - Platform & Markets,cap_kpi_operating_model,single_select,Not Measured / N/A | Hybrid Platform | Full-Service Institutional Operator | Select- and Limited-Service Focus | Resort and Lifestyle Specialist | Urban and Gateway Market Focus | Mixed Branded and Independent Portfolio | Conversion and Transition Specialist | Regional Hub with Local Pods | Owner-Aligned Partnership Model,Partial,Legacy tab: Operating Platform | Tab: Operating Platform,Capability Snapshot KPI or narrative card on Explorer Operating Platform.,Owner-Aligned Partnership Model,Not Measured / N/A,Change,Operating Platform,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Operating Platform,cap_kpi_execution_strength,Operator Setup - Platform & Markets,cap_kpi_execution_strength,single_select,Not Measured / N/A | Emerging | Developing | Proven | Institutional,Partial,Legacy tab: Operating Platform | Tab: Operating Platform,Capability Snapshot KPI or narrative card on Explorer Operating Platform.,Proven,Not Measured / N/A,Change,Operating Platform,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Operating Platform,cap_kpi_transition,Operator Setup - Platform & Markets,cap_kpi_transition,single_select,Not Measured / N/A | Low | Moderate | Strong | Very Strong,Partial,Legacy tab: Operating Platform | Tab: Operating Platform,Capability Snapshot KPI or narrative card on Explorer Operating Platform.,Strong,Not Measured / N/A,Change,Operating Platform,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Operating Platform,cap_kpi_reporting,Operator Setup - Platform & Markets,cap_kpi_reporting,single_select,Not Measured / N/A | Basic | Structured | Advanced | Institutional,Partial,Legacy tab: Operating Platform | Tab: Operating Platform,Capability Snapshot KPI or narrative card on Explorer Operating Platform.,Structured,Not Measured / N/A,Change,Operating Platform,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Operating Platform,cap_profile_operational,Operator Setup - Platform & Markets,cap_profile_operational,text,,Partial,Legacy tab: Operating Platform | Tab: Operating Platform,Capability Snapshot KPI or narrative card on Explorer Operating Platform.,"HE CALA is organized around local leadership and regional execution in Caribbean and Latin America markets. Public materials indicate a focus on hotel opening, transition, and ongoing management support for leisure and lifestyle assets. The division appears intended to give owners regional coverage while leveraging the parent company's broader operating platform.",,Change,Operating Platform,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Operating Platform,cap_profile_commercial,Operator Setup - Platform & Markets,cap_profile_commercial,text,,Partial,Legacy tab: Operating Platform | Tab: Operating Platform,Capability Snapshot KPI or narrative card on Explorer Operating Platform.,"The commercial model appears to combine regional sales coverage with parent-platform support for revenue management, distribution, and brand relationships. Public statements emphasize performance-driven management, which usually implies tighter coordination between operations and commercial disciplines. Specific system architecture was not publicly identified.",,Change,Operating Platform,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Operating Platform,cap_profile_transition,Operator Setup - Platform & Markets,cap_profile_transition,text,,Partial,Legacy tab: Operating Platform | Tab: Operating Platform,Capability Snapshot KPI or narrative card on Explorer Operating Platform.,"CALA public materials show active pre-opening and pipeline work, including projects in multiple island and resort markets. This suggests the division is being used for both opening new assets and moving branded properties into operation. The first Costa Rica opening was publicly announced in March 2026.",,Change,Operating Platform,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Operating Platform,cap_card_asset_positioning,Operator Setup - Platform & Markets,cap_card_asset_positioning,text,,Partial,Legacy tab: Operating Platform | Tab: Operating Platform,Capability Snapshot KPI or narrative card on Explorer Operating Platform.,CALA is best framed as a regional operating platform for leisure-oriented hotel owners seeking third-party management in Caribbean and Latin America markets. The division is concentrated in resort and lifestyle assets rather than broad urban scale. It is therefore positioned more as a specialized regional operator than a full global platform.,,Change,Operating Platform,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Operating Platform,cap_card_service_diff,Operator Setup - Platform & Markets,cap_card_service_diff,text,,Partial,Legacy tab: Operating Platform | Tab: Operating Platform,Capability Snapshot KPI or narrative card on Explorer Operating Platform.,"The visible differentiator is regional leadership tied to a broader parent company platform. Public materials emphasize local knowledge, owner alignment, and a dedicated CALA structure rather than a generic remote management model.",,Change,Operating Platform,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Operating Platform,cap_card_execution_rel,Operator Setup - Platform & Markets,cap_card_execution_rel,text,,Partial,Legacy tab: Operating Platform | Tab: Operating Platform,Capability Snapshot KPI or narrative card on Explorer Operating Platform.,"The division's language is explicitly owner-facing, with emphasis on value creation and local execution. For institutional owners, that usually indicates a relationship model centered on reporting, accountability, and market responsiveness. The public record does not yet show a long operating history in CALA, so depth should be viewed as emerging rather than legacy.",,Change,Operating Platform,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Operating Platform,cap_card_governance,Operator Setup - Platform & Markets,cap_card_governance,text,,Partial,Legacy tab: Operating Platform | Tab: Operating Platform,Capability Snapshot KPI or narrative card on Explorer Operating Platform.,"Public sources do not publish cadence details, committee structure, or reporting pack formats. The safest conclusion is that governance is likely structured but not externally documented.",,Change,Operating Platform,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Operating Platform,cap_deep_revenue_systems,Operator Setup - Platform & Markets,cap_deep_revenue_systems,text,,Partial,Legacy tab: Operating Platform | Tab: Operating Platform,Capability Snapshot KPI or narrative card on Explorer Operating Platform.,"Revenue systems are brand-appropriate (PMS/RMS/channel tooling varies by flag) with governance on discounting, group displacement, and channel mix. Owners participate in commercial business reviews with clear comp-set and pacing context.",,Change,Operating Platform,yes,Fully Covered,currently empty in form inventory
recWPKu5laVZxsvpn,Hotel Equities (CALA),Operating Platform,cap_deep_execution_infra,Operator Setup - Platform & Markets,cap_deep_execution_infra,text,,Partial,Legacy tab: Operating Platform | Tab: Operating Platform,Capability Snapshot KPI or narrative card on Explorer Operating Platform.,"The division describes purpose-built infrastructure and local leadership, but no detailed technology or organizational chart was published. Public evidence is strongest on market presence and leadership rather than back-office systems.",,Change,Operating Platform,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Operating Platform,cap_signal_budget,Operator Setup - Platform & Markets,cap_signal_budget,single_select,Not Measured / N/A | Within ±1% | Within ±2% | Within ±3% | Within ±3.5% | Within ±5% | Greater than ±5% | In line with budget (qualitative),Partial,Legacy tab: Operating Platform | Tab: Operating Platform,Capability Snapshot KPI or narrative card on Explorer Operating Platform.,Not Measured / N/A,Not Measured / N/A,Update,Operating Platform,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Operating Platform,cap_signal_lift,Operator Setup - Platform & Markets,cap_signal_lift,single_select,Not Measured / N/A | 0–30 days | 31–60 days | 61–90 days | 91–120 days | 121–180 days | 181–365 days | More than 12 months | Varies materially by asset type,Partial,Legacy tab: Operating Platform | Tab: Operating Platform,Capability Snapshot KPI or narrative card on Explorer Operating Platform.,Not Measured / N/A,Not Measured / N/A,Update,Operating Platform,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Operating Platform,cap_signal_trans,Operator Setup - Platform & Markets,cap_signal_trans,single_select,Not Measured / N/A | 95% or higher | 90–94% | 80–89% | 70–79% | Below 70%,Partial,Legacy tab: Operating Platform | Tab: Operating Platform,Capability Snapshot KPI or narrative card on Explorer Operating Platform.,Not Measured / N/A,Not Measured / N/A,Update,Operating Platform,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Brand & Relationships,brand_narrative_compliance,Operator Setup - Profile & Positioning,brand_narrative_compliance,text,,Partial,Legacy tab: Brand & Relationships | Tab: Brand & Relationships,Brand relationships narrative or signal on Explorer Brand section.,"Brand compliance appears to be handled through standard branded-hotel operating practices, supported by a third-party management platform and regional leadership. Public materials do not describe a proprietary compliance system.",,Change,Brand & Relationships,yes,Fully Covered,
