airtable_table,field_name,field_type,possible_duplicate_field,read_anywhere_current,write_anywhere_current,appears_in_api_payloads,appears_in_snapshots_or_docs,appears_in_scoring_logic,contains_data_check,removal_risk,recommendation,evidence_current_source,evidence_prior_report,conflict_prior_vs_current,confirmation_status
Operator Setup - Platform & Markets,cap_kpi_operating_model,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_kpi_execution_strength,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_profile_commercial,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_profile_transition,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_card_asset_positioning,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_card_service_diff,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_card_execution_rel,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_card_governance,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_deep_revenue_systems,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_deep_execution_infra,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_signal_budget,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_signal_lift,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_signal_trans,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,ov_card_discipline,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,ov_card_commercial,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,ov_card_communication,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,ov_card_flexibility,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,ov_card_risk,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,ov_cluster_interaction,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,ov_cluster_deliverables,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,bf_q_assets,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,bf_q_situations,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,bf_selected_deal_structures,multipleSelects,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,bf_q_deals,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,bf_signal_dealsize,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,bf_signal_transition,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,bf_signal_governance,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,bf_signal_capital,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,priorityMarketsOther,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,marketsToAvoidOther,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,ownerNonNegotiableOther,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,performanceMetricsOther,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,dealTermsOptIn,checkbox,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",infra_kpi_revenue,number,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",infra_kpi_exec,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",infra_kpi_tools,number,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",infra_asset_management_reporting,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",infra_systems_technology,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",systems_inventory_lines,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",risk_programs_narrative,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",mkt_signal_fte,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",lead_narrative_model,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",lead_narrative_resilience,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",lead_narrative_functional,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",lead_functions_selected,multipleSelects,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",lead_kpi_functions,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",lead_signal_succession,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",lead_signal_density,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",diligenceQaOptIn,checkbox,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",Revenue Management Other,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",Sales Marketing Other,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",Accounting Reporting Other,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",Procurement Services Other,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",HR Training Services Other,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",Technology Services Other,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",Design Renovation Support Other,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",Development Services Other,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,Market Presence Type,multipleSelects,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",Offered Services,multipleSelects,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,New-Build Opening Experience,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,Brand Families Operated,multipleSelects,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",Sales Platform,multipleSelects,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
"Operator Setup - Governance, Delivery & Diligence",Governance Cadence,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,Minimum Key Count,number,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Commercial Fit & Terms,Similar Project Case Studies,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
si,Operator Review Status,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
si,Preferred Management Structure,multipleSelects,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
si,Required Operator Services,multipleSelects,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
si,Must-Have Operator Services,multipleSelects,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
si,Nice-to-Have Operator Services,multipleSelects,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
si,Market Presence Requirement,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
si,Pre-Opening Support Needed,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
si,Owner Reporting Expectations,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
si,Brand / Operator Responsibility Split,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
si,Owner Control Preference,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
si,Commercial Priority,multipleSelects,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
si,Local Labor / HR Support Needed,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
si,Procurement Support Needed,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
si,Owner Internal Ops Capability,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
si,Brand Agreement Structure,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
si,Operating Model,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
si,Operator Scope,multipleSelects,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
deals,F&B Complexity,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
deals,Opening Timeline,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Leadership Team Members,exec_* (repeater),child,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Master,Explorer Hero Verification,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Master,Explorer Hero Data Source,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Master,Users,multipleRecordLinks,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Master,Operator Deal Requests,multipleRecordLinks,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brand_portfolio_mix_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brand_relationship_depth_json,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
