Operator ID,Operator name,Readiness status,Current overall coverage,Eligibility-field coverage,Differentiation-field coverage,Evidence-field coverage,Brand-relationship coverage,Highest-priority missing field,Second-priority missing field,Third-priority missing field,Recommended source type,Expected scoring impact,Research priority,Notes
recKVILWcRLqrQlWs,Driftwood Hospitality Management,Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
recLjxtxIIVJaGbXK,Highgate,Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
recOc5kpsg4Muip9Y,Royalton Hotels & Resorts,Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
receHCdI6CEsJqdG4,Brittain Resorts & Hotels (BRH),Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
recfwDdU5t9h4uFnZ,Atlantica Hotels International (AHI),Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
reciI2tYQBfMoMK9G,GHL Hoteles (GHL Holding),Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
reck6gjQd3wdeugmZ,Arriva Hospitality Group (AHG),Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
reckyv9O0Y3auYpJJ,Grupo Hotelero Santa Fe,Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
rectsHzacZDFTH1Ze,OxoHotel,Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
recuEDrp6oeJIEuRX,Grupo Marta Hospitality,Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
recwEHUotSGpfkZEJ,Grupo Iberostar,Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
recF5Z87OAqFgndoq,Arbor Lodging (CALA),Conditionally Rankable,83.1,75,33.3,0,50,Active countries (structured),Identified evidence source for material claims,Brand approval / relationship status,Dealality baseline research,high,High,"Core identity present but missing differentiators, evidence, or full eligibility set."
recQ6Cf8O2z0tiqBz,Cenote Azul Operadores,Conditionally Rankable,95.4,100,50,0,50,Identified evidence source for material claims,Brand approval / relationship status,Comparable operator assignments,Dealality research + independent source,medium,High,"Core identity present but missing differentiators, evidence, or full eligibility set."
recWPKu5laVZxsvpn,Hotel Equities (CALA),Conditionally Rankable,95.4,100,50,0,50,Identified evidence source for material claims,Brand approval / relationship status,Comparable operator assignments,Dealality research + independent source,medium,High,"Core identity present but missing differentiators, evidence, or full eligibility set."
