page_tab_section,ui_label,frontend_field_key_name_id,expected_airtable_table,expected_airtable_field,api_route_used_to_save,request_payload_key,response_payload_key,save_currently_implemented,persists_after_refresh,loads_existing_values,validation_present,select_option_consistency,disconnected_or_mock_risk,mismatch_issue,evidence_current_source,evidence_prior_report,conflict_prior_vs_current,confirmation_status
Profile & Positioning / Company Story & Positioning,managementPhilosophy,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Profile & Positioning / Company Story & Positioning,missionStatement,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Profile & Positioning / What They Are Best At,overview_bestat_1_headline,skipped,Needs Review,—,/api/third-party-operator-intake,skipped,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Profile & Positioning / What They Are Best At,overview_bestat_1_story,skipped,Needs Review,—,/api/third-party-operator-intake,skipped,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Profile & Positioning / What They Are Best At,overview_bestat_2_*,skipped,Needs Review,—,/api/third-party-operator-intake,skipped,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Profile & Positioning / What They Are Best At,overview_bestat_3_*,skipped,Needs Review,—,/api/third-party-operator-intake,skipped,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Profile & Positioning / Why Owners Consider This Operator,overview_why_1_headline,skipped,Needs Review,—,/api/third-party-operator-intake,skipped,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Profile & Positioning / Why Owners Consider This Operator,overview_why_1_story,skipped,Needs Review,—,/api/third-party-operator-intake,skipped,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Profile & Positioning / Why Owners Consider This Operator,overview_why_2_*,skipped,Needs Review,—,/api/third-party-operator-intake,skipped,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Profile & Positioning / Why Owners Consider This Operator,overview_why_3_*,skipped,Needs Review,—,/api/third-party-operator-intake,skipped,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Profile & Positioning / Best-Fit Owner / Project Profile (overview),bf_fit_criteria_json,bf_fit_criteria_json,Operator Setup - Commercial Fit & Terms,bf_fit_criteria_json,/api/third-party-operator-intake,bf_fit_criteria_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Profile & Positioning / Best-Fit Owner / Project Profile (overview),"bestFitGeographies, priorityMarkets",—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Profile & Positioning / Best-Fit Owner / Project Profile (overview),bf_selected_asset_types,bf_selected_asset_types,Operator Setup - Commercial Fit & Terms,bf_selected_asset_types,/api/third-party-operator-intake,bf_selected_asset_types,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Profile & Positioning / Best-Fit Owner / Project Profile (overview),bestFitOwnerTypes,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Profile & Positioning / Best-Fit Owner / Project Profile (overview),bf_selected_situation_types,bf_selected_situation_types,Operator Setup - Commercial Fit & Terms,bf_selected_situation_types,/api/third-party-operator-intake,bf_selected_situation_types,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Profile & Positioning / Best-Fit Owner / Project Profile (overview),bf_not_ideal_for,bf_not_ideal_for,Operator Setup - Commercial Fit & Terms,bf_not_ideal_for,/api/third-party-operator-intake,bf_not_ideal_for,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Profile & Positioning / Leadership Snapshot,leadershipTeam[],—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Profile & Positioning / Recognition,certifications,—,Needs Review,Certifications,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Profile & Positioning / Recognition,industryRecognition,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Profile & Positioning / Recognition,achievements / notableAchievements,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Operating Platform / Operating Platform (KPI snapshot),revenueManagementCapability,revenueManagementCapability,"Operator Setup - Governance, Delivery & Diligence",Revenue Management Capability,/api/third-party-operator-intake,revenueManagementCapability,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Operating Platform / Operating Platform (KPI snapshot),ownerReportingLevel,ownerReportingLevel,"Operator Setup - Governance, Delivery & Diligence",Owner Reporting Level,/api/third-party-operator-intake,ownerReportingLevel,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Operating Platform / Operating Platform (KPI snapshot),cap_kpi_reporting,cap_kpi_reporting,Operator Setup - Platform & Markets,cap_kpi_reporting,/api/third-party-operator-intake,cap_kpi_reporting,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Operating Platform / Operating Platform (KPI snapshot),preOpeningSupportCapability,preOpeningSupportCapability,Operator Setup - Commercial Fit & Terms,Pre-Opening Support Capability,/api/third-party-operator-intake,preOpeningSupportCapability,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Operating Platform / Operating Platform (KPI snapshot),cap_kpi_transition,cap_kpi_transition,Operator Setup - Platform & Markets,cap_kpi_transition,/api/third-party-operator-intake,cap_kpi_transition,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Operating Platform / Operating Platform (KPI snapshot),conversionReflagExperience,conversionReflagExperience,Operator Setup - Commercial Fit & Terms,Conversion / Reflag Experience,/api/third-party-operator-intake,conversionReflagExperience,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Operating Platform / Operating Platform (KPI snapshot),fbCapabilityLevel / fBCapabilityLevel,fbCapabilityLevel,"Operator Setup - Governance, Delivery & Diligence",F&B Capability Level,/api/third-party-operator-intake,fbCapabilityLevel,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Operating Platform / Commercial Engine (pillar tiles),op_commercial_engine_json,op_commercial_engine_json,Operator Setup - Platform & Markets,op_commercial_engine_json,/api/third-party-operator-intake,op_commercial_engine_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Operating Platform / Commercial Engine (pillar tiles),cap_profile_commercial,cap_profile_commercial,Operator Setup - Platform & Markets,cap_profile_commercial,/api/third-party-operator-intake,cap_profile_commercial,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Operating Platform / Commercial Engine (pillar tiles),offeredServices,offeredServices,"Operator Setup - Governance, Delivery & Diligence",Offered Services,/api/third-party-operator-intake,offeredServices,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Operating Platform / Owner Reporting & Communication,op_owner_reporting_json,op_owner_reporting_json,Operator Setup - Platform & Markets,op_owner_reporting_json,/api/third-party-operator-intake,op_owner_reporting_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Operating Platform / Owner Reporting & Communication,cap_card_governance,cap_card_governance,Operator Setup - Platform & Markets,cap_card_governance,/api/third-party-operator-intake,cap_card_governance,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Operating Platform / Pre-Opening & Transition Support,op_preopening_transition_json,op_preopening_transition_json,Operator Setup - Platform & Markets,op_preopening_transition_json,/api/third-party-operator-intake,op_preopening_transition_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Operating Platform / Pre-Opening & Transition Support,cap_profile_transition,cap_profile_transition,Operator Setup - Platform & Markets,cap_profile_transition,/api/third-party-operator-intake,cap_profile_transition,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Operating Platform / Conversion & Repositioning,op_conversion_repositioning_json,op_conversion_repositioning_json,Operator Setup - Platform & Markets,op_conversion_repositioning_json,/api/third-party-operator-intake,op_conversion_repositioning_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Operating Platform / Conversion & Repositioning,cap_deep_revenue_systems,cap_deep_revenue_systems,Operator Setup - Platform & Markets,cap_deep_revenue_systems,/api/third-party-operator-intake,cap_deep_revenue_systems,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
"Operating Platform / F&B, Lifestyle & Resort Capability",op_fb_lifestyle_resort_json,op_fb_lifestyle_resort_json,Operator Setup - Platform & Markets,op_fb_lifestyle_resort_json,/api/third-party-operator-intake,op_fb_lifestyle_resort_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
"Operating Platform / F&B, Lifestyle & Resort Capability",cap_card_service_diff,cap_card_service_diff,Operator Setup - Platform & Markets,cap_card_service_diff,/api/third-party-operator-intake,cap_card_service_diff,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Brand & Relationships / Brand & Relationship Snapshot (KPIs),"numberOfBrands, brands[]",—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Brand & Relationships / Brand & Relationship Snapshot (KPIs),brand_portfolio_mix_json,brand_portfolio_mix_json,Operator Setup - Profile & Positioning,brand_portfolio_mix_json,/api/third-party-operator-intake,brand_portfolio_mix_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Brand & Relationships / Brand & Relationship Snapshot (KPIs),brandedVsIndependentMix,brandedVsIndependentMix,Operator Setup - Profile & Positioning,brandedVsIndependentMix,/api/third-party-operator-intake,brandedVsIndependentMix,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Brand & Relationships / Brand & Relationship Snapshot (KPIs),brand_conversion_project_count,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Brand & Relationships / Brand & Relationship Snapshot (KPIs),brand_signal_reflag,brand_signal_reflag,Operator Setup - Profile & Positioning,brand_signal_reflag,/api/third-party-operator-intake,brand_signal_reflag,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Brand & Relationships / Brand & Relationship Snapshot (KPIs),brand_relationship_depth_json,brand_relationship_depth_json,Operator Setup - Profile & Positioning,brand_relationship_depth_json,/api/third-party-operator-intake,brand_relationship_depth_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Brand & Relationships / Portfolio Mix by Brand / Flag Type,brand_portfolio_mix_json,brand_portfolio_mix_json,Operator Setup - Profile & Positioning,brand_portfolio_mix_json,/api/third-party-operator-intake,brand_portfolio_mix_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Brand & Relationships / Brands & Relationship Depth,brand_relationship_depth_json,brand_relationship_depth_json,Operator Setup - Profile & Positioning,brand_relationship_depth_json,/api/third-party-operator-intake,brand_relationship_depth_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Brand & Relationships / Brand Execution Capabilities,brand_execution_capabilities_json,brand_execution_capabilities_json,Operator Setup - Profile & Positioning,brand_execution_capabilities_json,/api/third-party-operator-intake,brand_execution_capabilities_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Brand & Relationships / Brand Governance & Compliance Support,brand_governance_compliance_json,brand_governance_compliance_json,Operator Setup - Profile & Positioning,brand_governance_compliance_json,/api/third-party-operator-intake,brand_governance_compliance_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Brand & Relationships / Soft Brand / Independent Experience,brand_soft_independent_narrative,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Markets & Footprint / Markets & Footprint (KPI snapshot),"regions, regionsSupported",regionsSupported,Needs Review,—,/api/third-party-operator-intake,regionsSupported,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Markets & Footprint / Markets & Footprint (KPI snapshot),activeCountries,activeCountries,Operator Setup - Platform & Markets,Active Countries,/api/third-party-operator-intake,activeCountries,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Markets & Footprint / Markets & Footprint (KPI snapshot),activeMarkets,activeMarkets,Operator Setup - Platform & Markets,Active Markets / Cities,/api/third-party-operator-intake,activeMarkets,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Markets & Footprint / Markets & Footprint (KPI snapshot),numberOfMarkets,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Markets & Footprint / Markets & Footprint (KPI snapshot),mkt_signal_years,mkt_signal_years,Operator Setup - Platform & Markets,mkt_signal_years,/api/third-party-operator-intake,mkt_signal_years,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Markets & Footprint / Markets & Footprint (KPI snapshot),mkt_signal_gateway,mkt_signal_gateway,Operator Setup - Platform & Markets,mkt_signal_gateway,/api/third-party-operator-intake,mkt_signal_gateway,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Markets & Footprint / Markets & Footprint (KPI snapshot),mkt_signal_mix,mkt_signal_mix,Operator Setup - Platform & Markets,mkt_signal_mix,/api/third-party-operator-intake,mkt_signal_mix,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Markets & Footprint / Three-Layer Market Experience,"activeCountries, activeMarkets, teamExperienceMarkets, targetGrowthMarkets","activeCountries, activeMarkets",Needs Review,Active Countries,/api/third-party-operator-intake,"activeCountries, activeMarkets","recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Markets & Footprint / Three-Layer Market Experience,marketExperience.*,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Markets & Footprint / Local / Regional Expertise,mkt_regional_expertise_json,mkt_regional_expertise_json,Operator Setup - Platform & Markets,mkt_regional_expertise_json,/api/third-party-operator-intake,mkt_regional_expertise_json,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
