airtable_table,airtable_field_name,airtable_field_type,canonical_key,compatibility_alias_keys,my_operator_section,ui_label,frontend_input_key,payload_key,writer_mapping,readback_prefill_key,displayed_in_operator_explorer,used_in_alignment_snapshot,used_in_alignment_score_breakdown,used_in_capability_snapshot,system_derived,legacy_compatibility_only,currently_missing_from_form,recommended_form_treatment,priority
Operator Setup - Commercial Fit & Terms,auditRightsRequired,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,avgContractTerm,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,baseFeeEscalation,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,baseFeeEscalationHow,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,bf_best_fit_project_types_json,multilineText,bf_best_fit_project_types_json,,Project Fit & Deal Profile / Best-Fit Project Types,bf_best_fit_project_types_json,bf_best_fit_project_types_json,bf_best_fit_project_types_json,Operator Setup - Commercial Fit & Terms.bf_best_fit_project_types_json <= bf_best_fit_project_types_json,bf_best_fit_project_types_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,No,Legacy compatibility only,Do not expose
Operator Setup - Commercial Fit & Terms,bf_evaluation_path_json,multilineText,bf_evaluation_path_json,,Project Fit & Deal Profile / Evaluation Path,bf_evaluation_path_json,bf_evaluation_path_json,bf_evaluation_path_json,Operator Setup - Commercial Fit & Terms.bf_evaluation_path_json <= bf_evaluation_path_json,bf_evaluation_path_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,No,Legacy compatibility only,Do not expose
Operator Setup - Commercial Fit & Terms,bf_fit_criteria_json,multilineText,bf_fit_criteria_json,,Profile & Positioning / Best-Fit Owner / Project Profile (overview),bf_fit_criteria_json,bf_fit_criteria_json,bf_fit_criteria_json,Operator Setup - Commercial Fit & Terms.bf_fit_criteria_json <= bf_fit_criteria_json,bf_fit_criteria_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,No,Legacy compatibility only,Do not expose
Operator Setup - Commercial Fit & Terms,bf_not_ideal_for,multilineText,bf_not_ideal_for,,Profile & Positioning / Best-Fit Owner / Project Profile (overview),bf_not_ideal_for,bf_not_ideal_for,bf_not_ideal_for,Operator Setup - Commercial Fit & Terms.bf_not_ideal_for <= bf_not_ideal_for,bf_not_ideal_for,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,bf_operating_situations,multilineText,bf_operating_situations,,,,bf_operating_situations,bf_operating_situations,Operator Setup - Commercial Fit & Terms.bf_operating_situations <= bf_operating_situations,bf_operating_situations,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,bf_preferred_deal_profile_json,multilineText,bf_preferred_deal_profile_json,,Project Fit & Deal Profile / Preferred Deal Profile,bf_preferred_deal_profile_json,bf_preferred_deal_profile_json,bf_preferred_deal_profile_json,Operator Setup - Commercial Fit & Terms.bf_preferred_deal_profile_json <= bf_preferred_deal_profile_json,bf_preferred_deal_profile_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,No,Legacy compatibility only,Do not expose
Operator Setup - Commercial Fit & Terms,bf_q_assets,singleLineText,bf_q_assets,,,,bf_q_assets,bf_q_assets,Operator Setup - Commercial Fit & Terms.bf_q_assets <= bf_q_assets,bf_q_assets,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,bf_q_deals,singleLineText,bf_q_deals,,,,bf_q_deals,bf_q_deals,Operator Setup - Commercial Fit & Terms.bf_q_deals <= bf_q_deals,bf_q_deals,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,bf_q_situations,singleLineText,bf_q_situations,,,,bf_q_situations,bf_q_situations,Operator Setup - Commercial Fit & Terms.bf_q_situations <= bf_q_situations,bf_q_situations,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,bf_red_flags_json,multilineText,bf_red_flags_json,,Project Fit & Deal Profile / Potential Red Flags,bf_red_flags_json,bf_red_flags_json,bf_red_flags_json,Operator Setup - Commercial Fit & Terms.bf_red_flags_json <= bf_red_flags_json,bf_red_flags_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,No,Legacy compatibility only,Do not expose
Operator Setup - Commercial Fit & Terms,bf_selected_asset_types,multipleSelects,bf_selected_asset_types,,Profile & Positioning / Best-Fit Owner / Project Profile (overview),bf_selected_asset_types,bf_selected_asset_types,bf_selected_asset_types,Operator Setup - Commercial Fit & Terms.bf_selected_asset_types <= bf_selected_asset_types,bf_selected_asset_types,Yes,No/Unclear,Yes,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,bf_selected_deal_structures,multipleSelects,bf_selected_deal_structures,,,,bf_selected_deal_structures,bf_selected_deal_structures,Operator Setup - Commercial Fit & Terms.bf_selected_deal_structures <= bf_selected_deal_structures,bf_selected_deal_structures,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,bf_selected_situation_types,multipleSelects,bf_selected_situation_types,,Profile & Positioning / Best-Fit Owner / Project Profile (overview),bf_selected_situation_types,bf_selected_situation_types,bf_selected_situation_types,Operator Setup - Commercial Fit & Terms.bf_selected_situation_types <= bf_selected_situation_types,bf_selected_situation_types,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,bf_signal_capital,singleLineText,bf_signal_capital,,,,bf_signal_capital,bf_signal_capital,Operator Setup - Commercial Fit & Terms.bf_signal_capital <= bf_signal_capital,bf_signal_capital,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,bf_signal_dealsize,singleSelect,bf_signal_dealsize,,Project Fit & Deal Profile / Project Fit Snapshot (KPIs),bf_signal_dealsize,bf_signal_dealsize,bf_signal_dealsize,Operator Setup - Commercial Fit & Terms.bf_signal_dealsize <= bf_signal_dealsize,bf_signal_dealsize,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,bf_signal_governance,singleLineText,bf_signal_governance,,,,bf_signal_governance,bf_signal_governance,Operator Setup - Commercial Fit & Terms.bf_signal_governance <= bf_signal_governance,bf_signal_governance,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,bf_signal_transition,singleSelect,bf_signal_transition,,Project Fit & Deal Profile / Project Fit Snapshot (KPIs),bf_signal_transition,bf_signal_transition,bf_signal_transition,Operator Setup - Commercial Fit & Terms.bf_signal_transition <= bf_signal_transition,bf_signal_transition,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,brandedResidencesAllowed,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,brandStatus,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,budgetProcess,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,capexPlanning,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,capexSupport,multilineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,capexTolerance,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,capReimbursableExpenses,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,centralServiceAllocations,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,centralServiceAllocationsNotes,multilineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,coBrandingAllowed,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,communicationStyle,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,company_name,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,concernResolutionTime,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,Conversion / Reflag Experience,singleSelect,conversionReflagExperience,,Operating Platform / Operating Platform (KPI snapshot),conversionReflagExperience,conversionReflagExperience,conversionReflagExperience,Operator Setup - Commercial Fit & Terms.Conversion / Reflag Experience <= conversionReflagExperience,conversionReflagExperience,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Deferred/capture later,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,curePeriodDuration,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,curePeriodQty,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,dateFlexibility,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,dealTermsOptIn,checkbox,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,decisionMaking,multilineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,disputeResolution,multilineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,esgExpectations,multilineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,exitHorizon,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,feeExpectationVsMarket,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,feeMinimumFloor,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,feeMinimumFloorBasis,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,feeMinimumFloorMax,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,feeMinimumFloorMin,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,feeStructure,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,idealAgreementTypes,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,idealBuildingTypes,multipleSelects,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,idealProjectsAdditionalNotes,multilineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,idealProjectSizeMax,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,idealProjectSizeMin,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,idealProjectTypes,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,idealRoomCountMax,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,idealRoomCountMin,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,incentiveExcessBasis,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,incentiveExcessMax,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,incentiveExcessMin,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,incentiveExcessNotes,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,incentiveFeeBasis,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,incentiveFeeMax,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,incentiveFeeMin,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,incentiveFeeNotes,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,industryRecognition,multilineText,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,keyMoneyCoInvestment,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,knownRedFlags,multilineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,lenderReferences,singleSelect,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,majorLenders,multilineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,Management Structures Supported,multipleSelects,managementStructuresSupported,,Profile & Positioning / Operator Quick Facts,managementStructuresSupported,managementStructuresSupported,managementStructuresSupported,Operator Setup - Commercial Fit & Terms.Management Structures Supported <= managementStructuresSupported,managementStructuresSupported,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Deferred/capture later,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,marketExpansionComfort,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,marketsToAvoid,multipleSelects,,,,,,,Yes,,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,marketsToAvoidOther,singleLineText,,,,,,,No/Unclear,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,maxPropertySize,number,,,,,,,Yes,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,mgmtFeeBasis,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,mgmtFeeMax,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,mgmtFeeMin,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,mgmtFeeNotes,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,milestoneConstructionStartMinMonths,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,milestoneGrandOpeningMinMonths,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,milestoneOperatorSelectionMinMonths,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,milestoneSoftOpeningMinMonths,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,Minimum Key Count,number,minimumKeyCount,,,,minimumKeyCount,minimumKeyCount,Operator Setup - Commercial Fit & Terms.Minimum Key Count <= minimumKeyCount,minimumKeyCount,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,minInitialTermDuration,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,minInitialTermLength,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,minInitialTermQty,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,minLeadTimeMonths,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,minPropertySize,number,,,,,,,Yes,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,mixedUseAllowed,singleSelect,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,New-Build Opening Experience,singleSelect,newBuildOpeningExperience,,,,newBuildOpeningExperience,newBuildOpeningExperience,Operator Setup - Commercial Fit & Terms.New-Build Opening Experience <= newBuildOpeningExperience,newBuildOpeningExperience,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Deferred/capture later,P2 later cleanup
Operator Setup - Commercial Fit & Terms,noiImprovement,number,,,,,,,Yes,,No/Unclear,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,occupancyImprovement,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,operatingCollaborationMode,singleSelect,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,Operator,multipleRecordLinks,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,No,No,Hidden/system-only,Do not expose
Operator Setup - Commercial Fit & Terms,ov_card_commercial,multilineText,ov_card_commercial,,,,ov_card_commercial,ov_card_commercial,Operator Setup - Commercial Fit & Terms.ov_card_commercial <= ov_card_commercial,ov_card_commercial,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ov_card_communication,multilineText,ov_card_communication,,,,ov_card_communication,ov_card_communication,Operator Setup - Commercial Fit & Terms.ov_card_communication <= ov_card_communication,ov_card_communication,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ov_card_discipline,multilineText,ov_card_discipline,,,,ov_card_discipline,ov_card_discipline,Operator Setup - Commercial Fit & Terms.ov_card_discipline <= ov_card_discipline,ov_card_discipline,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ov_card_flexibility,multilineText,ov_card_flexibility,,,,ov_card_flexibility,ov_card_flexibility,Operator Setup - Commercial Fit & Terms.ov_card_flexibility <= ov_card_flexibility,ov_card_flexibility,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ov_card_risk,multilineText,ov_card_risk,,,,ov_card_risk,ov_card_risk,Operator Setup - Commercial Fit & Terms.ov_card_risk <= ov_card_risk,ov_card_risk,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ov_cluster_deliverables,multilineText,ov_cluster_deliverables,,,,ov_cluster_deliverables,ov_cluster_deliverables,Operator Setup - Commercial Fit & Terms.ov_cluster_deliverables <= ov_cluster_deliverables,ov_cluster_deliverables,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ov_cluster_interaction,multilineText,ov_cluster_interaction,,,,ov_cluster_interaction,ov_cluster_interaction,Operator Setup - Commercial Fit & Terms.ov_cluster_interaction <= ov_cluster_interaction,ov_cluster_interaction,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,No,Editable input,P2 later cleanup
Operator Setup - Commercial Fit & Terms,ov_controls_governance_json,multilineText,ov_controls_governance_json,,Owner Engagement & Reporting / Controls & Governance,ov_controls_governance_json,ov_controls_governance_json,ov_controls_governance_json,Operator Setup - Commercial Fit & Terms.ov_controls_governance_json <= ov_controls_governance_json,ov_controls_governance_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,No,Legacy compatibility only,Do not expose
Operator Setup - Commercial Fit & Terms,ov_engagement_cadence_json,multilineText,ov_engagement_cadence_json,,Owner Engagement & Reporting / Owner Engagement Cadence,ov_engagement_cadence_json,ov_engagement_cadence_json,ov_engagement_cadence_json,Operator Setup - Commercial Fit & Terms.ov_engagement_cadence_json <= ov_engagement_cadence_json,ov_engagement_cadence_json,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,Yes,No,Legacy compatibility only,Do not expose
