censusRecordId,censusName,censusCity,censusCountry,brandCluster,reasonBucket,suggestedNextAction,notes,topCandidatePropertyId,topCandidateNameSim,topCandidateAlreadyApplied
"recPKO54xTtVbqwBE","Hyatt Place San Jose Cariari","Heredia","Costa Rica","Hyatt Place","hard_exclusion_name_conflict","Keep blocked vs Pinares (SJOZP). Wait for official Hyatt Place Cariari URL/Property ID on hyatt.com before any fill.","Would collide with SJOZP Hyatt Place San Jose Pinares","SJOZP","0.667","true"
"recQTOJWxPMTchNTi","Dreams Jade Resort & Spa","Puerto Morelos","Mexico","Dreams","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","Best weak hit DRFPC sim=0.667 brandOk=true applied=true","DRFPC","0.667","true"
"recS86Vz2Gw20RicT","Dreams III Grand Island","Cancún","Mexico","Dreams","pipeline_or_unopened","Treat as pipeline / multi-phase / residences — re-check hyatt.com after opening; do not invent Property ID.","No safe directory row","","",""
"recSaFvSw6E1wrHue","Grand Hyatt St Lucia","Choiseul","Saint Lucia","Grand Hyatt","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","Best weak hit BOGGH sim=0.4 brandOk=true applied=true","BOGGH","0.4","true"
"recTdyBL2s176Qma3","Andaz Costa Rica Resort at Peninsula Papagayo","Playa Manzanillo","Costa Rica","Andaz","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","Best weak hit SEPCR sim=0.429 brandOk=false applied=true","SEPCR","0.429","true"
"recTxxnnctfaQBwKe","Dreams Playa del Carmen","Playa del Carmen","Mexico","Dreams","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","Best weak hit SEPDC sim=0.6 brandOk=false applied=true","SEPDC","0.6","true"
"recUNycnMwOVFX0hc","Krystal Grand Puerto Vallarta","Puerto Vallarta","Mexico","nonstandard_or_unbound","nonstandard_or_unbound_name","Confirm Hyatt Parent/Affiliation vs Unbound/third-party naming; only fill if official hyatt.com hotel URL exists with matching Property ID.","No official hyatt.com directory hit at safe similarity","SUNPV","0.4","true"
"recUZAUPv7vrUWkiN","Devossion by Live Aqua Playa del Carmen","Playa Del Carmen","Mexico","nonstandard_or_unbound","nonstandard_or_unbound_name","Confirm Hyatt Parent/Affiliation vs Unbound/third-party naming; only fill if official hyatt.com hotel URL exists with matching Property ID.","No official hyatt.com directory hit at safe similarity","SEPDC","0.375","true"
"recVhXRlLvjUvr1BS","Hyatt Centric Santo Domingo","Santo Domingo","Dominican Republic","Hyatt Centric","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","Best weak hit MVDHY sim=0.4 brandOk=true applied=true","MVDHY","0.4","true"
"recWrbmZFG8whuM03","Park Hyatt Los Cabos Hotel and Residences","Cabo san Lucas","Mexico","Park Hyatt","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","Best weak hit MENPH sim=0.4 brandOk=true applied=true","MENPH","0.4","true"
"recYDzphYf5lUyUmC","Hyatt Place Piedras Negras","Piedras Negras","Mexico","Hyatt Place","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","Best weak hit GIGZM sim=0.4 brandOk=true applied=true","GIGZM","0.4","true"
"recZ3FA9Qiobc5apQ","Thompson Monterrey","Monterrey","Mexico","Thompson","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","No directory near-match","","",""
"reca9WuYNpmkqfFq4","Royal Beach Hotel Punta Cana","Punta Cana","Dominican Republic","nonstandard_or_unbound","nonstandard_or_unbound_name","Confirm Hyatt Parent/Affiliation vs Unbound/third-party naming; only fill if official hyatt.com hotel URL exists with matching Property ID.","No official hyatt.com directory hit at safe similarity","","",""
"recbvUmkQstBHboEL","Marien Puerto Plata","Puerto Plata","Dominican Republic","nonstandard_or_unbound","nonstandard_or_unbound_name","Confirm Hyatt Parent/Affiliation vs Unbound/third-party naming; only fill if official hyatt.com hotel URL exists with matching Property ID.","No official hyatt.com directory hit at safe similarity","SUPOP","0.5","true"
"reccsUweY11cllYXw","Secrets Tulum Resort & Beach Club","Tulum","Mexico","Secrets","census_duplicate_after_1to1","Dedupe against census row that already holds SECTU; do not double-assign Property ID.","SECTU Secrets Tulum Resort And Beach Club (sim 0.833) already applied","SECTU","0.833","true"
"recdMwAmwrgRQ1JT1","Hyatt Place Georgetown Demerara","Georgetown","Guyana","Hyatt Place","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","Best weak hit GIGZM sim=0.4 brandOk=true applied=true","GIGZM","0.4","true"
"recdODL7XDVCcBUom","Dreams Sapphire Resort & Spa","Puerto Morelos","Mexico","Dreams","census_duplicate_after_1to1","Dedupe against census row that already holds DRSRC; do not double-assign Property ID.","DRSRC Sapphire Resort Spa (sim 0.6) already applied","DRFPC","0.667","true"
"recgRUVRbW6Nx4TzE","Zoetry St Lucia","St. Lucia","Saint Lucia","Zoetry","census_duplicate_after_1to1","Dedupe against census row that already holds ZOMSL; do not double-assign Property ID.","ZOMSL Zoetry Marigot Bay saint Lucia (sim 0.6) already applied","ZOMSL","0.6","true"
"recgiy2VQB0InNEoC","Impression Isla Mujeres by Secrets","Isla Mujeres","Mexico","Secrets","census_duplicate_after_1to1","Dedupe against census row that already holds SEIIM; do not double-assign Property ID.","SEIIM Impression By Secrets Isla Mujeres (sim 1) already applied","SEIIM","1","true"
"rechTFNeAAYgr9mms","Hyatt Vivid Playa del Carmen","Playa Del Carmen","Mexico","Hyatt Vivid","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","Best weak hit CUNPC sim=0.571 brandOk=false applied=false","CUNPC","0.571","false"
"rechZvCiIsCMHoQBJ","Secrets Playa Blanca Costa Mujeres","Cancun","Mexico","Secrets","census_duplicate_after_1to1","Dedupe against census row that already holds SEPBC; do not double-assign Property ID.","SEPBC Secrets Playa Blanca Costa Mujeres (sim 1) already applied","SEPBC","1","true"
"reci0ViHJ6UcgaHKr","Hyatt Regency Panama City","Panama City","Panama","Hyatt Regency","census_duplicate_after_1to1","Dedupe against census row that already holds MEXHR; do not double-assign Property ID.","MEXHR Hyatt Regency Mexico City (sim 0.6) already applied","MEXHR","0.6","true"
"recj4R5dnV1tsh3h4","Park Hyatt Mexico City","Mexico City","Mexico","Park Hyatt","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","Best weak hit MEXHR sim=0.6 brandOk=false applied=true","MEXHR","0.6","true"
"recjXrhQPfx9vbvNJ","Hyatt Place Santo Domingo Piantini","Santo Domingo","Dominican Republic","Hyatt Place","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","No directory near-match","","",""
"recomcUtjCVfNFMmE","Hotel La Compañia, Casco Antiguo, Panama","Panama City","Panama","other","nonstandard_or_unbound_name","Confirm Hyatt Parent/Affiliation vs Unbound/third-party naming; only fill if official hyatt.com hotel URL exists with matching Property ID.","No official hyatt.com directory hit at safe similarity","PTYUB","0.5","false"
"recpRUQ9xxQa6eWYZ","Andaz Turks & Caicos Providenciales Hotel & Residences","The Bight Settlement","Turks and Caicos Islands","Andaz","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","No directory near-match","","",""
"recpf9Z7vGfKgvkNh","Hyatt Centric San Jose Escazu","Fernandez San Jose","Costa Rica","Hyatt Centric","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","Best weak hit SJOZP sim=0.429 brandOk=false applied=true","SJOZP","0.429","true"
"recqn5DUnQW8cfFZE","Dreams I Grand Island Cancun","Cancún","Mexico","Dreams","pipeline_or_unopened","Treat as pipeline / multi-phase / residences — re-check hyatt.com after opening; do not invent Property ID.","No safe directory row","DRERC","0.4","true"
"recrCUN0JIFoh7jku","Grand Hyatt Baha Mar","Nassau","Bahamas","Grand Hyatt","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","Best weak hit BOGGH sim=0.4 brandOk=true applied=true","BOGGH","0.4","true"
"recrKod1wDNr6XArz","The Placencia Resort","Placencia","Belize","nonstandard_or_unbound","nonstandard_or_unbound_name","Confirm Hyatt Parent/Affiliation vs Unbound/third-party naming; only fill if official hyatt.com hotel URL exists with matching Property ID.","No official hyatt.com directory hit at safe similarity","PIODH","0.4","true"
"recrVkCsIjx0hjr3K","Dreams Rose Hall Resort & Spa","Montego Bay","Jamaica","Dreams","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","Best weak hit DRFPC sim=0.571 brandOk=true applied=true","DRFPC","0.571","true"
"recriEujJsQRIKFGP","Grand Hyatt Mexico City Santa Fe","Mexico City","Mexico","Grand Hyatt","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","Best weak hit MEXXS sim=0.714 brandOk=false applied=true","MEXXS","0.714","true"
"rectETax1cEIQ9pYJ","Andaz Mayakoba Resort Riviera Maya","Playa Del Carmen","Mexico","Andaz","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","No directory near-match","","",""
"recugxPizydurFB9Q","Hyatt Regency Mexico City Insurgentes","Mexico City","Mexico","Hyatt Regency","census_duplicate_after_1to1","Duplicate Insurgentes census row — MEXRM already applied to another census record. Dedupe/merge steward decision; do not re-bind generic MEXHR.","MEXRM already applied; keep Insurgentes≠generic MEXHR block.","MEXRM","1","true"
"recxadmsV1kCevjnG","Hyatt Place Merida / Via Montejo","Merida","Mexico","Hyatt Place","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","No directory near-match","","",""
"reczb6fBOnn5cV2KT","Thompson Puerto Vallarta","Puerto Vallarta","Mexico","Thompson","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","Best weak hit SUNPV sim=0.5 brandOk=false applied=true","SUNPV","0.5","true"
"recznUcIdLTpFAUnt","Destination by Hyatt Placencia Resort","Placencia","Belize","Hyatt Place","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","No directory near-match","","",""
