table,tableKey,fieldName,fieldType,status,plannedCount,liveCount,matchStatus,plannedMissingFromLive,liveExtraNotPlanned,liveOptions
Operator Setup - Platform & Markets,platform,Active Countries,multipleSelects,ok,17,17,Exact,,,Mexico | Dominican Republic | Costa Rica | Panama | Colombia | Peru | Chile | Argentina | Brazil | Jamaica | Puerto Rico | Curaçao | Trinidad & Tobago | Turks & Caicos | United States | Spain | Other
Operator Setup - Platform & Markets,platform,Active Markets / Cities,multipleSelects,ok,19,19,Exact,,,Cancún | Mexico City | Monterrey | Guadalajara | Riviera Maya | Punta Cana | Santo Domingo | San Juan | Panama City | Bogotá | Medellín | Lima | Santiago | Buenos Aires | São Paulo | Rio de Janeiro | San José | Montevideo | Other
Operator Setup - Platform & Markets,platform,Market Presence Type,multipleSelects,ok,6,6,Exact,,,Active operations | Prior experience | Pipeline / signed project | Target market | No known presence | Unknown
Operator Setup - Profile & Positioning,profile,Service Models Supported,multipleSelects,ok,11,11,Exact,,,Limited-service | Select-service | Focused-service | Full-service | Lifestyle | Boutique | Resort | All-inclusive | Extended stay | Branded residential / mixed-use | Other
Operator Setup - Profile & Positioning,profile,chainScalesSupported,multipleSelects,ok,8,7,Partial,Independent / Boutique | Other,Independent,Luxury | Upper Upscale | Upscale | Upper Midscale | Midscale | Economy | Independent
Operator Setup - Profile & Positioning,profile,Brand Families Operated,multipleSelects,ok,12,12,Exact,,,Marriott | Hilton | Hyatt | IHG | Choice | Wyndham | Accor | Sonesta | Radisson / Choice | Independent | Soft brands / collections | Other
Operator Setup - Profile & Positioning,profile,Soft Brand / Lifestyle Experience,singleSelect,ok,5,5,Exact,,,Strong | Moderate | Limited | None documented | Unknown
Operator Setup - Commercial Fit & Terms,commercial,Management Structures Supported,multipleSelects,ok,8,8,Exact,,,Full third-party management | Brand-managed | Franchise support | Commercial-only support | Pre-opening / transition support | Asset management support | Hybrid / project-specific | Other
Operator Setup - Commercial Fit & Terms,commercial,New-Build Opening Experience,singleSelect,ok,5,5,Exact,,,Strong | Moderate | Limited | None documented | Unknown
Operator Setup - Commercial Fit & Terms,commercial,Pre-Opening Support Capability,singleSelect,ok,5,5,Exact,,,Advanced | Standard | Limited | None documented | Unknown
Operator Setup - Commercial Fit & Terms,commercial,Conversion / Reflag Experience,singleSelect,ok,5,5,Exact,,,Strong | Moderate | Limited | None documented | Unknown
"Operator Setup - Governance, Delivery & Diligence",governance,Offered Services,multipleSelects,ok,16,16,Exact,,,Full hotel management | Pre-opening planning | Opening / transition support | Revenue management | Sales | Distribution / channel management | Digital marketing | Accounting / finance | HR / staffing | Procurement | F&B operations | Brand compliance support | Owner reporting | Asset management support | Technical services coordination | Other
"Operator Setup - Governance, Delivery & Diligence",governance,Owner Reporting Level,singleSelect,ok,6,6,Exact,,,Basic owner reporting | Monthly operating review | Institutional reporting | Lender / investor-grade reporting | Custom / project-specific | Unknown
"Operator Setup - Governance, Delivery & Diligence",governance,F&B Capability Level,singleSelect,ok,6,6,Exact,,,None / rooms-only | Limited F&B | Moderate F&B | Significant F&B | Lifestyle / experiential F&B | Unknown
"Operator Setup - Governance, Delivery & Diligence",governance,Revenue Management Capability,singleSelect,ok,6,6,Exact,,,Property-level only | Centralized support | Advanced centralized platform | Third-party partner | None documented | Unknown
"Operator Setup - Governance, Delivery & Diligence",governance,Sales Platform,multipleSelects,ok,7,7,Exact,,,Local sales | Regional sales | Global sales support | Group sales | Digital / e-commerce | None documented | Unknown
"Operator Setup - Governance, Delivery & Diligence",governance,Governance Cadence,singleSelect,ok,6,6,Exact,,,Monthly | Quarterly | Asset-management style | Board / investor reporting | Custom / project-specific | Unknown
Operator Setup - Master,master,Data Confidence Level,singleSelect,ok,5,5,Exact,,,Verified | Operator-provided | Public-source | Inferred | Incomplete
Operator Setup - Master,master,Source Type,multipleSelects,ok,7,7,Exact,,,Operator-provided | Internal research | Public website | Brand / owner conversation | Prior project knowledge | Imported sample data | Unknown
