Canonical Brand Name,Alias / Source Brand Name,Parent Company,Active,Approved,Match Confidence,Requires Human Review,Proposal Reason,Open Hotels,Open Keys,Pipeline Hotels,Country Count,Parent Company In Census,Example Hotel Names,Example Countries,Existing Alias Status,Notes
Best Western Premier,Best Western Premier,BWH Hotels,no,no,High,no,exact_display: Exact normalized display name,3,443,2,3,BWH Hotels,Best Western Premier Monterrey Aeropuerto; Best Western Premier Maceio; Best Western Premier Marina Las Condes,Brazil; Chile; Mexico,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
ibis Styles,ibis Styles,Accor,no,no,High,no,exact_display: Exact normalized display name,57,8350,23,7,Accor,ibis Styles Confins Aeroporto; ibis Styles Manaus; ibis Styles Ponta Pora,Argentina; Brazil; Chile,missing,Proposal only — set Approved true in reviewed JSON to seed
Pullman,Pullman,Accor,no,no,High,no,exact_display: Exact normalized display name,9,2247,1,4,Accor,Pullman Hotel Casino City Center Rosario; Pullman Sao Paulo Guarulhos Airport Hotel; Pullman Sao Paulo Ibirapuera,Argentina; Brazil; Chile,missing,Proposal only — set Approved true in reviewed JSON to seed
Grand Hyatt,Grand Hyatt,Hyatt Hotels Corporation,no,no,High,no,exact_display: Exact normalized display name,5,3391,5,4,Hyatt Hotels Corporation,Grand Hyatt Rio de Janeiro; Grand Hyatt Sao Paulo; Grand Hyatt Playa Del Carmen Resort,Bahamas; Brazil; Colombia,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Four Points by Sheraton,Four Points by Sheraton,Marriott International,no,no,High,no,exact_display: Exact normalized display name,19,2470,8,6,Marriott International,Four Points by Sheraton Punta Cana Village; Four Points by Sheraton Monterrey Linda Vista; Four Points by Sheraton Ciudad Juarez,Chile; Colombia; Dominican Republic,missing,Proposal only — set Approved true in reviewed JSON to seed
Sunscape Resorts & Spas,Sunscape Resorts & Spas,Hyatt Hotels Corporation,no,no,High,no,exact_display: Exact normalized display name,8,3905,0,3,Hyatt Hotels Corporation,Sunscape Sabor Cozumel Resort & Spa; Sunscape Puerto Vallarta Resort & Spa; Sunscape Dominicus La Romana,Curaçao; Dominican Republic; Mexico,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Westin,Westin,Marriott International,no,no,High,no,exact_display: Exact normalized display name,14,3991,6,9,Marriott International,Westin Resort & Spa Playa Conchal; The Westin Panama; Westin Camino Real,Brazil; Cayman Islands; Costa Rica,missing,Proposal only — set Approved true in reviewed JSON to seed
Tru by Hilton,Tru by Hilton,Hilton Worldwide,no,no,High,no,exact_display: Exact normalized display name,3,372,21,3,Hilton Worldwide,Tru by Hilton Criciuma; Tru by Hilton Cali Sur; Tru by Hilton Monterrey Fundidora,Brazil; Colombia; Mexico,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Anantara,Anantara,Minor Hotel Group Limited,no,no,High,no,exact_display: Exact normalized display name,0,0,1,0,Minor Hotel Group Limited,,,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Sofitel,Sofitel,Accor,no,no,High,no,exact_display: Exact normalized display name,7,1028,1,4,Accor,Sofitel Buenos Aires Recoleta; Sofitel Mexico City Reforma; Sofitel Las Bovedas,Argentina; Colombia; Mexico,missing,Proposal only — set Approved true in reviewed JSON to seed
Fairmont,Fairmont,Accor,no,no,High,no,exact_display: Exact normalized display name,5,1625,0,5,Accor,Fairmont Rio de Janeiro Copacabana; Fairmont El San Juan Hotel; Fairmont Royal Pavilion,Barbados; Bermuda; Brazil,missing,Proposal only — set Approved true in reviewed JSON to seed
Park Inn by Radisson (Choice),Park Inn by Choice,"Choice Hotels International, Inc.",no,no,High,yes,known_rule:park_inn_choice: Known Choice census naming: Park Inn by Choice,6,606,0,5,"Choice Hotels International, Inc.","Park Inn Berrini; Park Inn by Radisson Mazatlan; Park Inn By Radisson San Jose, Costa Rica",Brazil; Chile; Costa Rica,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Le Meridien,Le Meridien,Marriott International,no,no,High,no,exact_display: Exact normalized display name,3,562,0,3,Marriott International,Le Méridien Santiago de Chile; Le Meridien Mexico City Reforma; Le Meridien Panama,Chile; Mexico; Panama,missing,Proposal only — set Approved true in reviewed JSON to seed
Secrets Resorts & Spas,Secrets Resorts & Spas,Hyatt Hotels Corporation,no,no,High,no,exact_display: Exact normalized display name,21,7927,8,4,Hyatt Hotels Corporation,Secrets St. James Montego Bay; Impression Moxché by Secrets; Impression Isla Mujeres by Secrets,Costa Rica; Dominican Republic; Jamaica,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Hyatt Centric,Hyatt Centric,Hyatt Hotels Corporation,no,no,High,no,exact_display: Exact normalized display name,6,1012,3,6,Hyatt Hotels Corporation,Hyatt Centric Campestre León; Hyatt Centric San Isidro Lima; Hyatt Centric San Salvador,Chile; El Salvador; Guatemala,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Comfort Inn & Suites,Comfort Inn,"Choice Hotels International, Inc.",no,no,Medium,yes,known_rule:comfort_rollup: Known Comfort census split affiliations rollup to Comfort Inn & Suites,20,1891,1,4,"Choice Hotels International, Inc.",Comfort Inn Queretaro Tecnologico; Comfort Inn Real San Miguel; Comfort Inn Irapuato,Brazil; El Salvador; Mexico,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Comfort Inn & Suites,Comfort,"Choice Hotels International, Inc.",no,no,Medium,yes,known_rule:comfort_rollup: Known Comfort census split affiliations rollup to Comfort Inn & Suites,19,2595,0,2,"Choice Hotels International, Inc.",Comfort Hotel Sao Caetano; Comfort Hotel Sertaozinho; Comfort Hotel Maceio,Brazil; Trinidad and Tobago,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Comfort Inn & Suites,Comfort Suites,"Choice Hotels International, Inc.",no,no,Medium,yes,known_rule:comfort_rollup: Known Comfort census split affiliations rollup to Comfort Inn & Suites,8,1313,0,2,"Choice Hotels International, Inc.",Comfort Suites Sao Jose Do Rio Preto; Comfort Suites Paradise Island; Comfort Suites Londrina,Bahamas; Brazil,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Hyatt Regency,Hyatt Regency,Hyatt Hotels Corporation,no,no,High,no,exact_display: Exact normalized display name,10,3580,4,5,Hyatt Hotels Corporation,Hyatt Regency Mexico City Insurgentes; Hyatt Regency Andares Guadalajara; Hyatt Regency Grand Reserve Puerto Rico,Aruba; Colombia; Mexico,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Mondrian,Mondrian,Accor,no,no,High,no,exact_display: Exact normalized display name,1,183,1,1,Accor,Mondrian Mexico City Condesa,Mexico,missing,Proposal only — set Approved true in reviewed JSON to seed
Hilton Grand Vacations,Hilton Grand Vacations,Hilton Grand Vacations,no,no,High,no,exact_display: Exact normalized display name,1,117,0,1,Hilton Grand Vacations,Hilton Vacation Club Royal Palm St. Maarten,Sint Maarten (Dutch part),missing,Proposal only — set Approved true in reviewed JSON to seed
Aiden by Best Western,Aiden by Best Western,BWH Hotels,no,no,High,no,exact_display: Exact normalized display name,2,208,1,2,BWH Hotels,Aiden by Best Western Hotel Black Boutique; Aiden by Best Western Georgetown Guyana,Guyana; Mexico,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Novotel,Novotel,Accor,no,no,High,no,exact_display: Exact normalized display name,44,7588,9,8,Accor,Novotel Itu Golf & Resort; Novotel Recife Marina; Novotel Medellin El Tesoro,Argentina; Bolivia; Brazil,missing,Proposal only — set Approved true in reviewed JSON to seed
Radisson Individual (Choice),Radisson Individuals by Choice,"Choice Hotels International, Inc.",no,no,High,yes,known_rule:radisson_individual_choice: Known Choice census naming: Radisson Individuals by Choice (plural),13,1400,0,2,"Choice Hotels International, Inc.","Hotel Bambito By Faranda Boutique, A Member Of Radisson Individuals; Faranda Collection Bogota, A Member Of Radisson Individuals; Hotel Casa La Factoria by Faranda Boutique, a member of Radisson Individuals",Colombia; Panama,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Wyndham Garden,Wyndham Garden,Wyndham Hotels & Resorts,no,no,High,no,exact_display: Exact normalized display name,25,3240,10,9,Wyndham Hotels & Resorts,Wyndham Garden Hotel Barranquilla; Wyndham Garden Monterrey Aeropuerto; Wyndham Garden Santiago Kennedy,Argentina; Brazil; Chile,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Destination by Hyatt,Destination by Hyatt,Hyatt Hotels Corporation,no,no,High,no,exact_display: Exact normalized display name,2,214,2,2,Hyatt Hotels Corporation,The Legend Paracas Resort; The Placencia Resort,Belize; Peru,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
LXR Hotels & Resorts,LXR Hotels & Resorts,Hilton Worldwide,no,no,High,no,exact_display: Exact normalized display name,1,76,1,1,Hilton Worldwide,LXR Hotels & Resorts Zemi Beach House,Anguilla,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
JO&JOE,JO&JOE,Accor,no,no,High,no,exact_display: Exact normalized display name,1,80,1,1,Accor,JO&JOE Rio De Janeiro,Brazil,missing,Proposal only — set Approved true in reviewed JSON to seed
Radisson Blu (Choice),Radisson Blu by Choice,"Choice Hotels International, Inc.",no,no,High,yes,known_rule:radisson_blu_choice: Known Choice census naming: Radisson Blu by Choice,5,887,2,3,"Choice Hotels International, Inc.",Radisson Blu Sao Paulo; Radisson Blu Acqua Hotel & Spa Concon; Radisson Blu Aruba,Aruba; Brazil; Chile,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Wyndham Grand,Wyndham Grand,Wyndham Hotels & Resorts,no,no,High,no,exact_display: Exact normalized display name,3,1170,3,3,Wyndham Hotels & Resorts,Wyndham Grand Cancun All Inclusive Resort & Villas; Wyndham Grand Rio Mar Rainforest Beach and Golf Resort; Wyndham Grand Barbados Sam Lords Castle All Inclusive Resort,Barbados; Mexico; Puerto Rico,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Ritz-Carlton,Ritz-Carlton,Marriott International,no,no,High,no,exact_display: Exact normalized display name,10,1937,8,7,Marriott International,"The Ritz-Carlton, St. Thomas; The Ritz-Carlton, Mexico City; Zadun, A Ritz-Carlton Reserve",Aruba; Cayman Islands; Chile,missing,Proposal only — set Approved true in reviewed JSON to seed
Mama Shelter,Mama Shelter,Accor,no,no,High,no,exact_display: Exact normalized display name,1,55,2,1,Accor,Mama Shelter Rio De Janeiro,Brazil,missing,Proposal only — set Approved true in reviewed JSON to seed
Sleep Inn,Sleep Inn,"Choice Hotels International, Inc.",no,no,High,no,exact_display: Exact normalized display name,19,2258,0,3,"Choice Hotels International, Inc.",Sleep Inn Torreon; Sleep Inn Puebla Centro Histórico; Sleep Inn Manaus,Brazil; Costa Rica; Mexico,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Waldorf Astoria,Waldorf Astoria,Hilton Worldwide,no,no,High,no,exact_display: Exact normalized display name,3,422,4,2,Hilton Worldwide,Waldorf Astoria Panama; Waldorf Astoria Los Cabos Pedregal; Waldorf Astoria Cancun,Mexico; Panama,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Breathless Resorts & Spas,Breathless Resorts & Spas,Hyatt Hotels Corporation,no,no,High,no,exact_display: Exact normalized display name,6,2311,0,3,Hyatt Hotels Corporation,Breathless Cabo San Lucas Resort & Spa; Breathless Cancun Soul Resort & Spa; Breathless Punta Cana Resort & Spa,Dominican Republic; Jamaica; Mexico,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
St. Regis,St. Regis,Marriott International,no,no,High,no,exact_display: Exact normalized display name,5,688,6,3,Marriott International,"St. Regis Punta Mita Resort; The St. Regis Bahia Beach Resort, Puerto Rico; The St. Regis Kanai Resort, Riviera Maya",Bermuda; Mexico; Puerto Rico,missing,Proposal only — set Approved true in reviewed JSON to seed
Homewood Suites by Hilton,Homewood Suites by Hilton,Hilton Worldwide,no,no,High,no,exact_display: Exact normalized display name,3,311,6,2,Hilton Worldwide,Homewood Suites by Hilton Monterrey Apodaca; Homewood Suites by Hilton Queretaro; Homewood Suites by Hilton Santo Domingo,Dominican Republic; Mexico,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Wyndham,Wyndham,Wyndham Hotels & Resorts,no,no,High,no,exact_display: Exact normalized display name,40,7758,18,14,Wyndham Hotels & Resorts,Costa Del Sol Wyndham Hotel Cajamarca; Wyndham Executivo Culiacan; Wyndham Torreon,Argentina; Bahamas; Brazil,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Country Inn & Suites by Radisson (Choice),Country Inn & Suites by Choice,"Choice Hotels International, Inc.",no,no,High,yes,known_rule:country_inn_choice: Known Choice census naming: Country Inn & Suites by Choice,1,92,0,1,"Choice Hotels International, Inc.","Country Inn & Suites By Radisson, San Jose Aeropuerto, Costa Rica",Costa Rica,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Andaz,Andaz,Hyatt Hotels Corporation,no,no,High,no,exact_display: Exact normalized display name,3,603,2,2,Hyatt Hotels Corporation,Andaz Costa Rica Resort at Peninsula Papagayo; Andaz Mexico City Condesa; Andaz Mayakoba Resort Riviera Maya,Costa Rica; Mexico,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Tapestry Collection by Hilton,Tapestry Collection by Hilton,Hilton Worldwide,no,no,High,no,exact_display: Exact normalized display name,8,1069,5,5,Hilton Worldwide,"MM Grand Hotel Puebla, Tapestry Collection by Hilton; ROK Hotel Kingston, Tapestry Collection; Yoo2 Rio De Janeiro, Tapestry Collection by Hilton",Brazil; Chile; Jamaica,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Home2 Suites by Hilton,Home2 Suites by Hilton,Hilton Worldwide,no,no,High,no,exact_display: Exact normalized display name,0,0,1,0,Hilton Worldwide,,,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Quality Inn,Quality Inn,"Choice Hotels International, Inc.",no,no,High,no,exact_display: Exact normalized display name,7,826,0,1,"Choice Hotels International, Inc.",Quality Inn Piedras Negras; Quality Inn Chihuahua San Francisco; Quality Inn & Suites Saltillo Eurotel,Mexico,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
BW Signature Collection,BW Signature Collection,BWH Hotels,no,no,High,no,exact_display: Exact normalized display name,6,381,0,6,BWH Hotels,"Brion City Hotel BW Signature Collection; Aruba Boutique & Art Hotel, BW Signature Collection; Mayaguez Plaza Hotel, BW Signature Collection",Aruba; Brazil; Curaçao,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Curio Collection by Hilton,Curio Collection by Hilton,Hilton Worldwide,no,no,High,no,exact_display: Exact normalized display name,22,2797,16,13,Hilton Worldwide,"Curio Collection by Hilton Villa Mercedes Merida; Mahogany Bay Resort & Beach Club, Curio Collection by Hilton; Curio Collection by Hilton Umbral",Argentina; Belize; Brazil,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Faena,Faena,Accor,no,no,High,no,exact_display: Exact normalized display name,0,0,2,0,Accor,,,missing,Proposal only — set Approved true in reviewed JSON to seed
Mercure,Mercure,Accor,no,no,High,no,exact_display: Exact normalized display name,67,8786,6,9,Accor,Mercure Sao Caetano Do Sul; Mercure Salvador Pituba; Mercure Cayenne Royal Amazonia,Argentina; Bolivia; Brazil,missing,Proposal only — set Approved true in reviewed JSON to seed
Hyatt Place,Hyatt Place,Hyatt Hotels Corporation,no,no,High,no,exact_display: Exact normalized display name,17,2371,6,9,Hyatt Hotels Corporation,Hyatt Place Aguascalientes/Bonaterra; Hyatt Place Santiago Vitacura; Hyatt Place San Jose/Pinares,Aruba; Brazil; Chile,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Hyatt Zilara,Hyatt Zilara,Hyatt Hotels Corporation,no,no,High,no,exact_display: Exact normalized display name,4,1320,0,3,Hyatt Hotels Corporation,Hyatt Zilara Cap Cana; Hyatt Zilara Cancun; Hyatt Zilara Riviera Maya,Dominican Republic; Jamaica; Mexico,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
DoubleTree by Hilton,DoubleTree by Hilton,Hilton Worldwide,no,no,High,no,exact_display: Exact normalized display name,23,3913,6,10,Hilton Worldwide,DoubleTree by Hilton Bogota Salitre AR; DoubleTree by Hilton Hotel Mexico City Santa Fe; DoubleTree by Hilton Porto Alegre,Argentina; Brazil; Chile,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Hyde,Hyde,Accor,no,no,High,no,exact_display: Exact normalized display name,0,0,2,0,Accor,,,missing,Proposal only — set Approved true in reviewed JSON to seed
TRIBE,TRIBE,Accor,no,no,High,no,exact_display: Exact normalized display name,1,58,1,1,Accor,TRIBE Medellin,Colombia,missing,Proposal only — set Approved true in reviewed JSON to seed
JW Marriott,JW Marriott,Marriott International,no,no,High,no,exact_display: Exact normalized display name,17,4450,3,10,Marriott International,JW Marriott Cancun Resort & Spa; JW Marriott Santo Domingo; JW Marriott Guanacaste Resort & Spa,Brazil; Colombia; Costa Rica,missing,Proposal only — set Approved true in reviewed JSON to seed
Embassy Suites by Hilton,Embassy Suites by Hilton,Hilton Worldwide,no,no,High,no,exact_display: Exact normalized display name,5,1093,0,4,Hilton Worldwide,Embassy Suites by Hilton Bogota Rosales; Embassy Suites by Hilton San Juan Hotel & Casino; Embassy Suites by Hilton Aruba Resort,Aruba; Colombia; Dominican Republic,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
ibis,ibis,Accor,no,no,High,no,exact_display: Exact normalized display name,185,26961,36,10,Accor,ibis Parauapebas; ibis Cuiaba Shopping Hotel; ibis Osasco,Argentina; Bolivia; Brazil,missing,Proposal only — set Approved true in reviewed JSON to seed
Ascend Hotel Collection,Ascend Collection,"Choice Hotels International, Inc.",no,no,High,yes,known_rule:ascend_collection: Known Choice census naming: Ascend Collection,13,2367,3,6,"Choice Hotels International, Inc.","El Cid La Ceiba Beach Hotel, Ascend Hotel Collection; Emotions All Inclusive Juan Dolio, Ascend Hotel Collection; El Cid Marina Beach Hotel, Ascend Hotel Collection",Dominica; Dominican Republic; Ecuador,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Motto by Hilton,Motto by Hilton,Hilton Worldwide,no,no,High,no,exact_display: Exact normalized display name,2,173,6,2,Hilton Worldwide,Motto by Hilton Tulum; Motto by Hilton Cusco,Mexico; Peru,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Radisson RED  (Choice),Radisson RED by Choice,"Choice Hotels International, Inc.",no,no,High,yes,known_rule:radisson_red_choice: Known Choice census naming: Radisson RED by Choice,2,285,0,2,"Choice Hotels International, Inc.",Radisson RED Miraflores; Radisson RED Campinas,Brazil; Peru,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Renaissance,Renaissance,Marriott International,no,no,High,no,exact_display: Exact normalized display name,9,2650,0,9,Marriott International,"Carambola Beach Resort St. Croix, US Virgin Islands; Renaissance Sao Paulo Hotel; La Concha Renaissance San Juan Resort",Aruba; Brazil; Chile,missing,Proposal only — set Approved true in reviewed JSON to seed
Grand Mercure,Grand Mercure,Accor,no,no,High,no,exact_display: Exact normalized display name,8,1666,0,1,Accor,Grand Mercure Brasilia Eixo Monumental; Grand Mercure Recife Boa Viagem; Grand Mercure Belem,Brazil,missing,Proposal only — set Approved true in reviewed JSON to seed
Park Plaza (Choice),Park Plaza by Choice,"Choice Hotels International, Inc.",no,no,High,yes,known_rule:park_plaza_choice: Known Choice census naming: Park Plaza by Choice,1,144,0,1,"Choice Hotels International, Inc.",Park Plaza Porto Alegre Moinhos de Vento,Brazil,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Trademark Collection by Wyndham,Trademark Collection by Wyndham,Wyndham Hotels & Resorts,no,no,High,no,exact_display: Exact normalized display name,19,4423,4,5,Wyndham Hotels & Resorts,"Viva Azteca by Wyndham, A Trademark All Inclusive Resort; CHN Hotel Monterrey Aeropuerto, Trademark Collection by Wyndham; CHN Hotel Monterrey Norte, Trademark Collection by Wyndham",Aruba; Curaçao; Dominican Republic,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Luxury Collection,Luxury Collection,Marriott International,no,no,High,no,exact_display: Exact normalized display name,9,1377,3,5,Marriott International,"Solaz, a Luxury Collection Resort, Los Cabos; Hotel Paracas, a Luxury Collection Resort, Paracas; Sanctuary Cap Cana, a Luxury Collection Adult All-Inclusive Resort, Dominican Republic",Argentina; Dominican Republic; Mexico,missing,Proposal only — set Approved true in reviewed JSON to seed
Hyatt Vivid,Hyatt Vivid,Hyatt Hotels Corporation,no,no,High,no,exact_display: Exact normalized display name,1,400,0,1,Hyatt Hotels Corporation,Hyatt Vivid Grand Island,Mexico,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
SLS,SLS,Accor,no,no,High,no,exact_display: Exact normalized display name,3,392,2,3,Accor,SLS Buenos Aires Puerto Madero; SLS Cancun; SLS Baha Mar,Argentina; Bahamas; Mexico,missing,Proposal only — set Approved true in reviewed JSON to seed
MGallery Collection,MGallery Collection,Accor,no,no,High,no,exact_display: Exact normalized display name,5,580,3,5,Accor,Santa Teresa Hotel RJ - MGallery Collection; Armony Resort & Spa All Inclusive Adults Only future MGallery Collection; Hotel Costanero Montevideo - MGallery Collection,Argentina; Brazil; Mexico,missing,Proposal only — set Approved true in reviewed JSON to seed
Hilton Garden Inn,Hilton Garden Inn,Hilton Worldwide,no,no,High,no,exact_display: Exact normalized display name,42,6258,32,12,Hilton Worldwide,Hilton Garden Inn Lima Miraflores; Hilton Garden Inn Queretaro; Hilton Garden Inn  Merida,Argentina; Brazil; Chile,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Clarion,Clarion,"Choice Hotels International, Inc.",no,no,High,no,exact_display: Exact normalized display name,5,502,0,3,"Choice Hotels International, Inc.",Clarion Suites Roatan at Pineapple Villas; Clarion Hotel San Pedro Sula; Clarion Hotel Faria Lima,Brazil; Guatemala; Honduras,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Canopy by Hilton,Canopy by Hilton,Hilton Worldwide,no,no,High,no,exact_display: Exact normalized display name,2,272,1,2,Hilton Worldwide,Canopy by Hilton Sao Paulo Jardins; Canopy by Hilton Cancun La Isla,Brazil; Mexico,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Park Hyatt,Park Hyatt,Hyatt Hotels Corporation,no,no,High,no,exact_display: Exact normalized display name,3,475,3,2,Hyatt Hotels Corporation,Park Hyatt Mendoza; Park Hyatt St. Kitts Christophe Harbour; Palacio Duhau Park Hyatt Buenos Aires,Argentina; Saint Kitts and Nevis,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Swissotel,Swissotel,Accor,no,no,High,no,exact_display: Exact normalized display name,3,758,1,3,Accor,Swissotel Lima; Swissotel Quito; Swissotel Santa Cruz de la Sierra,Bolivia; Ecuador; Peru,missing,Proposal only — set Approved true in reviewed JSON to seed
Hampton by Hilton,Hampton by Hilton,Hilton Worldwide,no,no,High,no,exact_display: Exact normalized display name,64,8448,26,14,Hilton Worldwide,Hampton Inn by Hilton San Luis Potosi; Hampton by Hilton Inn & Suites Aguascalientes; Hampton Inn Hermosillo,Argentina; Bolivia; Brazil,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
