Airtable Table,Airtable Field,Airtable Field Type,Live Options,Operator Setup UI Tab,Operator Setup Form Field Name,OAS Injected?,New-Base Writer Mapped?,Legacy Writer Mapped?,Child Table / JSON Payload?,Operator Explorer Section / Tab,Displayed in Operator Explorer?,Explorer Display Source,Used by OAS?,Used by Operator Strategy?,System / Derived / Admin-only?,Coverage Status,Risk Level,Recommended Action
Operator Setup - Profile & Positioning,primaryServiceModel,singleSelect,,0. Company Profile,primaryServiceModel,No,Yes,Yes,No,C. Operating Profile | Tab: C. Operating Profile | H. Alignment Context (dealId),Yes,Live (Phase D rail + prefill),No,Yes,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Profile & Positioning,brands,multipleRecordLinks,,0. Company Profile,brands,No,Yes,Yes,No,G. Brand / Portfolio Experience | Tab: G. Brand / Portfolio Experience,Partial,Legacy Explorer tab: G. Brand / Portfolio Experience,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Profile & Positioning,additionalBrands,multilineText,,0. Company Profile,additionalBrands,No,No,Yes,No,—,No,Not an Explorer consumer field,No,No,No,Legacy Only,Medium,Phase B2 — extend new-base writer
Operator Setup - Profile & Positioning,chainScalesSupported,multipleSelects,,0. Company Profile,chainScalesSupported,No,Yes,No,No,C. Operating Profile | Tab: C. Operating Profile | H. Alignment Context (dealId),Yes,Live (Phase D rail + prefill),No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Profile & Positioning,companyLogo,multipleAttachments,,,companyLogo,No,No,No,Yes,H. Alignment Context (dealId),Yes,Live (Phase D rail + prefill),No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,propertyTypes,multipleSelects,,0. Company Profile,propertyTypes,No,No,Yes,No,A. Profile Snapshot,No,Not an Explorer consumer field,No,No,No,Legacy Only,Medium,Phase B2 — extend new-base writer
Operator Setup - Profile & Positioning,additionalExperience,multipleSelects,,0. Company Profile,additionalExperience,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,emergencyResponse,singleSelect,,0. Company Profile,emergencyResponse,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,businessContinuity,singleSelect,,0. Company Profile,businessContinuity,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,support24x7,singleSelect,,0. Company Profile,support24x7,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,crisisExperience,multilineText,,0. Company Profile,crisisExperience,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,insuranceCoverage,multilineText,,0. Company Profile,insuranceCoverage,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,sustainabilityPrograms,singleSelect,,0. Company Profile,sustainabilityPrograms,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,esgReporting,singleSelect,,0. Company Profile,esgReporting,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,carbonTracking,singleSelect,,0. Company Profile,carbonTracking,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,energyEfficiency,multilineText,,0. Company Profile,energyEfficiency,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,wasteReduction,multilineText,,0. Company Profile,wasteReduction,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,overview_bestat_1_headline,singleLineText,,1. Positioning & Snapshot,overview_bestat_1_headline,No,No,No,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,overview_bestat_1_story,multilineText,,1. Positioning & Snapshot,overview_bestat_1_story,No,No,No,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,overview_bestat_2_headline,singleLineText,,1. Positioning & Snapshot,overview_bestat_2_headline,No,No,No,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,overview_bestat_2_story,multilineText,,1. Positioning & Snapshot,overview_bestat_2_story,No,No,No,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,overview_bestat_3_headline,singleLineText,,1. Positioning & Snapshot,overview_bestat_3_headline,No,No,No,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,overview_bestat_3_story,multilineText,,1. Positioning & Snapshot,overview_bestat_3_story,No,No,No,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,overview_why_1_headline,singleLineText,,1. Positioning & Snapshot,overview_why_1_headline,No,No,No,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,overview_why_1_story,multilineText,,1. Positioning & Snapshot,overview_why_1_story,No,No,No,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,overview_why_2_headline,singleLineText,,1. Positioning & Snapshot,overview_why_2_headline,No,No,No,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,overview_why_2_story,multilineText,,1. Positioning & Snapshot,overview_why_2_story,No,No,No,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,overview_why_3_headline,singleLineText,,1. Positioning & Snapshot,overview_why_3_headline,No,No,No,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,overview_why_3_story,multilineText,,1. Positioning & Snapshot,overview_why_3_story,No,No,No,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,overview_signal_1_value,singleLineText,,1. Positioning & Snapshot,overview_signal_1_value,No,No,No,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,overview_signal_2_value,singleLineText,,1. Positioning & Snapshot,overview_signal_2_value,No,No,No,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,overview_signal_3_value,singleLineText,,1. Positioning & Snapshot,overview_signal_3_value,No,No,No,No,Legacy tab: Profile & Positioning | Tab: Profile & Positioning,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,brand_narrative_compliance,multilineText,,3. Brand & Relationships,brand_narrative_compliance,No,Yes,No,No,Legacy tab: Brand & Relationships | Tab: Brand & Relationships,Partial,Legacy Explorer tab: Brand & Relationships,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Profile & Positioning,brand_narrative_relationship,multilineText,,3. Brand & Relationships,brand_narrative_relationship,No,Yes,No,No,Legacy tab: Brand & Relationships | Tab: Brand & Relationships,Partial,Legacy Explorer tab: Brand & Relationships,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Profile & Positioning,brand_signal_audit,singleSelect,Not Measured / N/A | Below 85% | 85–89% | 90–94% | 95–98% | 99%+,3. Brand & Relationships,brand_signal_audit,No,Yes,No,No,Legacy tab: Brand & Relationships | Tab: Brand & Relationships,Partial,Legacy Explorer tab: Brand & Relationships,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Profile & Positioning,brand_signal_reflag,singleSelect,Not Measured / N/A | Under 4 Weeks | 4–8 Weeks | 8–12 Weeks | 12–16 Weeks | 16–24 Weeks | 24+ Weeks,3. Brand & Relationships,brand_signal_reflag,No,Yes,No,No,Legacy tab: Brand & Relationships | Tab: Brand & Relationships,Partial,Legacy Explorer tab: Brand & Relationships,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Profile & Positioning,brand_signal_franchise_align,singleSelect,Not Measured / N/A | Emerging | Low | Medium | Moderate-High | High | Strong | Very Strong,3. Brand & Relationships,brand_signal_franchise_align,No,Yes,No,No,Legacy tab: Brand & Relationships | Tab: Brand & Relationships,Partial,Legacy Explorer tab: Brand & Relationships,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Profile & Positioning,brand_signal_soft_retention,singleSelect,Not Measured / N/A | Below 80% | 80–84% | 85–89% | 90–94% | 95%+,3. Brand & Relationships,brand_signal_soft_retention,No,Yes,No,No,Legacy tab: Brand & Relationships | Tab: Brand & Relationships,Partial,Legacy Explorer tab: Brand & Relationships,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Profile & Positioning,figuresAsOf,singleLineText,,4. Markets & Footprint,figuresAsOf,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,capitalStatus,multipleSelects,,9. Best Fit & Preferences,capitalStatus,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,yearEstablished,number,,0. Company Profile,yearEstablished,No,Yes,Yes,No,A. Profile Snapshot | H. Alignment Context (dealId),Yes,Live (Phase D rail + prefill),No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Profile & Positioning,yearsInBusiness,number,,0. Company Profile,yearsInBusiness,No,Yes,Yes,No,A. Profile Snapshot | H. Alignment Context (dealId),Yes,Live (Phase D rail + prefill),No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Profile & Positioning,numberOfBrands,number,,0. Company Profile,numberOfBrands,No,Yes,Yes,No,G. Brand / Portfolio Experience | Tab: G. Brand / Portfolio Experience,Partial,Legacy Explorer tab: G. Brand / Portfolio Experience,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Profile & Positioning,locationTypeResort,number,,4. Markets & Footprint,locationTypeResort,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,locationTypeAirport,number,,4. Markets & Footprint,locationTypeAirport,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,marketExpansionRampTimeMonths,number,,9. Best Fit & Preferences,marketExpansionRampTimeMonths,No,No,No,No,—,No,Not an Explorer consumer field,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Profile & Positioning,readyForInvestorPublication,checkbox,,,readyForInvestorPublication,No,Yes,No,No,—,No,Not an Explorer consumer field,No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,company_name,singleLineText,,0. Company Profile,companyName,No,Yes,Yes,No,A. Profile Snapshot | H. Alignment Context (dealId),Yes,Live (Phase D rail + prefill),No,Yes,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,cap_profile_operational,multilineText,,2. Operating Platform,cap_profile_operational,No,Yes,No,No,Legacy tab: Operating Platform | Tab: Operating Platform,Partial,Legacy Explorer tab: Operating Platform,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,Operator,multipleRecordLinks,,,,No,No,No,No,—,No,Not an Explorer consumer field,No,No,Yes — System / link,System Field,Low,No operator UI — system/link/metadata
Operator Setup - Platform & Markets,cap_kpi_operating_model,singleSelect,Not Measured / N/A | Hybrid Platform | Full-Service Institutional Operator | Select- and Limited-Service Focus | Resort and Lifestyle Specialist | Urban and Gateway Market Focus | Mixed Branded and Independent Portfolio | Conversion and Transition Specialist | Regional Hub with Local Pods | Owner-Aligned Partnership Model,2. Operating Platform,cap_kpi_operating_model,No,Yes,No,No,Legacy tab: Operating Platform | Tab: Operating Platform,Partial,Legacy Explorer tab: Operating Platform,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,cap_kpi_execution_strength,singleSelect,Not Measured / N/A | Emerging | Developing | Proven | Institutional,2. Operating Platform,cap_kpi_execution_strength,No,Yes,No,No,Legacy tab: Operating Platform | Tab: Operating Platform,Partial,Legacy Explorer tab: Operating Platform,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,cap_kpi_transition,singleSelect,Not Measured / N/A | Low | Moderate | Strong | Very Strong,2. Operating Platform,cap_kpi_transition,No,Yes,No,No,Legacy tab: Operating Platform | Tab: Operating Platform,Partial,Legacy Explorer tab: Operating Platform,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,cap_kpi_reporting,singleSelect,Not Measured / N/A | Basic | Structured | Advanced | Institutional,2. Operating Platform,cap_kpi_reporting,No,Yes,No,No,Legacy tab: Operating Platform | Tab: Operating Platform,Partial,Legacy Explorer tab: Operating Platform,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,cap_profile_commercial,multilineText,,2. Operating Platform,cap_profile_commercial,No,Yes,No,No,Legacy tab: Operating Platform | Tab: Operating Platform,Partial,Legacy Explorer tab: Operating Platform,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,cap_profile_transition,multilineText,,2. Operating Platform,cap_profile_transition,No,Yes,No,No,Legacy tab: Operating Platform | Tab: Operating Platform,Partial,Legacy Explorer tab: Operating Platform,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,cap_card_asset_positioning,multilineText,,2. Operating Platform,cap_card_asset_positioning,No,Yes,No,No,Legacy tab: Operating Platform | Tab: Operating Platform,Partial,Legacy Explorer tab: Operating Platform,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,cap_card_service_diff,multilineText,,2. Operating Platform,cap_card_service_diff,No,Yes,No,No,Legacy tab: Operating Platform | Tab: Operating Platform,Partial,Legacy Explorer tab: Operating Platform,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,cap_card_execution_rel,multilineText,,2. Operating Platform,cap_card_execution_rel,No,Yes,No,No,Legacy tab: Operating Platform | Tab: Operating Platform,Partial,Legacy Explorer tab: Operating Platform,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,cap_card_governance,multilineText,,2. Operating Platform,cap_card_governance,No,Yes,No,No,Legacy tab: Operating Platform | Tab: Operating Platform,Partial,Legacy Explorer tab: Operating Platform,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,cap_deep_revenue_systems,multilineText,,2. Operating Platform,cap_deep_revenue_systems,No,Yes,No,No,Legacy tab: Operating Platform | Tab: Operating Platform,Partial,Legacy Explorer tab: Operating Platform,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,cap_deep_execution_infra,multilineText,,2. Operating Platform,cap_deep_execution_infra,No,Yes,No,No,Legacy tab: Operating Platform | Tab: Operating Platform,Partial,Legacy Explorer tab: Operating Platform,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,cap_signal_budget,singleSelect,Not Measured / N/A | Within ±1% | Within ±2% | Within ±3% | Within ±3.5% | Within ±5% | Greater than ±5% | In line with budget (qualitative),2. Operating Platform,cap_signal_budget,No,Yes,No,No,Legacy tab: Operating Platform | Tab: Operating Platform,Partial,Legacy Explorer tab: Operating Platform,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,cap_signal_lift,singleSelect,Not Measured / N/A | 0–30 days | 31–60 days | 61–90 days | 91–120 days | 121–180 days | 181–365 days | More than 12 months | Varies materially by asset type,2. Operating Platform,cap_signal_lift,No,Yes,No,No,Legacy tab: Operating Platform | Tab: Operating Platform,Partial,Legacy Explorer tab: Operating Platform,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,cap_signal_trans,singleSelect,Not Measured / N/A | 95% or higher | 90–94% | 80–89% | 70–79% | Below 70%,2. Operating Platform,cap_signal_trans,No,Yes,No,No,Legacy tab: Operating Platform | Tab: Operating Platform,Partial,Legacy Explorer tab: Operating Platform,Yes,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Platform & Markets,geo_na_existing_hotels,singleLineText,,4. Markets & Footprint,geo_na_existing_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_na_existing_rooms,singleLineText,,4. Markets & Footprint,geo_na_existing_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_na_pipeline_hotels,singleLineText,,4. Markets & Footprint,geo_na_pipeline_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_na_pipeline_rooms,singleLineText,,4. Markets & Footprint,geo_na_pipeline_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_na_total_hotels,singleLineText,,4. Markets & Footprint,geo_na_total_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_na_total_rooms,singleLineText,,4. Markets & Footprint,geo_na_total_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_cala_existing_hotels,singleLineText,,4. Markets & Footprint,geo_cala_existing_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_cala_existing_rooms,singleLineText,,4. Markets & Footprint,geo_cala_existing_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_cala_pipeline_hotels,singleLineText,,4. Markets & Footprint,geo_cala_pipeline_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_cala_pipeline_rooms,singleLineText,,4. Markets & Footprint,geo_cala_pipeline_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_cala_total_hotels,singleLineText,,4. Markets & Footprint,geo_cala_total_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_cala_total_rooms,singleLineText,,4. Markets & Footprint,geo_cala_total_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_eu_existing_hotels,singleLineText,,4. Markets & Footprint,geo_eu_existing_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_eu_existing_rooms,singleLineText,,4. Markets & Footprint,geo_eu_existing_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_eu_pipeline_hotels,singleLineText,,4. Markets & Footprint,geo_eu_pipeline_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_eu_pipeline_rooms,singleLineText,,4. Markets & Footprint,geo_eu_pipeline_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_eu_total_hotels,singleLineText,,4. Markets & Footprint,geo_eu_total_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_eu_total_rooms,singleLineText,,4. Markets & Footprint,geo_eu_total_rooms,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
Operator Setup - Platform & Markets,geo_mea_existing_hotels,singleLineText,,4. Markets & Footprint,geo_mea_existing_hotels,No,No,No,No,Legacy tab: Markets & Footprint | Tab: Markets & Footprint,No,Consumer expects field; not rendered,No,No,No,Static Form Only,High,Phase Setup UI + B2 writer mapping
