Parent Company,Normalized Parent Company,Brand Name,Normalized Brand Name,Brand Family / Collection,Chain Scale / Positioning Tier,Service Model,Region / CALA Flag,Include in Brand Explorer,Brand Status,Brand Directory URL,Official Website,Alias Mapping Present?,Alias Count,Missing Key Fields,Recommended Parent Priority,Gap Flags,Notes
AccorHotels,accorhotels,Orient Express,orient express,Masterbrand,Luxury,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,6. Accor,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
BWH Hotels,bwh hotels,BW Signature Collection,bw signature collection,Soft/Collection Brand,Upper Midscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
Iberostar Hotels & Resorts,iberostar hotels & resorts,Iberostar Waves,iberostar waves,Masterbrand,Upscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
Hilton Worldwide,hilton worldwide,Spark by Hilton,spark by hilton,Endorsed Brand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,4. Hilton,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
Sonesta International Hotels Corporation,sonesta international hotels corporation,Signature Inn,signature inn,Masterbrand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
Hilton Worldwide,hilton worldwide,DoubleTree by Hilton,doubletree by hilton,Endorsed Brand,Upscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,4. Hilton,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
Sonesta International Hotels Corporation,sonesta international hotels corporation,Settle Inn & Suites,settle inn & suites,Masterbrand,Upper Upscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
"Marriott International, Inc.",marriott international,citizenM,citizenm,Masterbrand,Upscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,3. Marriott International,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
BWH Hotels,bwh hotels,SureStay Plus Hotel by Best Western,surestay plus hotel by best western,Endorsed Brand,Economy,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
Hilton Worldwide,hilton worldwide,NoMad,nomad,Masterbrand,Luxury,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,4. Hilton,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
,(missing),The SocialTel,the socialtel,Masterbrand,Upper Upscale,Lifestyle / Boutique,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://socialtel.com,https://socialtel.com,yes,1,parent_company,15. Other regional / independent operators,parent_company,Needs Brand Setup or alias backfill before directory discovery.
Hilton Worldwide,hilton worldwide,Hilton Garden Inn,hilton garden inn,Endorsed Brand,Upscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,4. Hilton,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
"Marriott International, Inc.",marriott international,The Ritz-Carlton Reserve,the ritz-carlton reserve,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,3. Marriott International,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
Hilton Worldwide,hilton worldwide,Hampton by Hilton,hampton by hilton,Endorsed Brand,Upper Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,4. Hilton,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
BWH Hotels,bwh hotels,Executive Residency by Best Western,executive residency by best western,Endorsed Brand,Upper Midscale,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
Sonesta International Hotels Corporation,sonesta international hotels corporation,Signature Inn & Suites,signature inn & suites,Masterbrand,Upper Upscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
BWH Hotels,bwh hotels,BW Premier Collection,bw premier collection,Soft/Collection Brand,Upscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
Hilton Worldwide,hilton worldwide,AutoCamp,autocamp,Masterbrand,"AutoCamp positions itself as “Nature’s Boutique Hotel,” bringing boutique-style design and service to outdoor destinations. The experience combines immersive nature stays with modern comfort in thoughtfully designed accommodations near iconic places.",,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,4. Hilton,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
