Parent Company,Normalized Parent Company,Brand Name,Normalized Brand Name,Brand Family / Collection,Chain Scale / Positioning Tier,Service Model,Region / CALA Flag,Include in Brand Explorer,Brand Status,Brand Directory URL,Official Website,Alias Mapping Present?,Alias Count,Missing Key Fields,Recommended Parent Priority,Notes
InterContinental Hotels Group,intercontinental hotels group,Six Senses Hotels Resorts Spas,six senses hotels resorts spas,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://ihg.com,https://ihg.com,yes,1,,2. IHG,
Hyatt Hotels Corporation,hyatt hotels corporation,Joie de Vivre Hotels,joie de vivre hotels,Masterbrand,Upper Upscale,Lifestyle / Boutique,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://jdvhotels.com,https://jdvhotels.com,yes,1,,5. Hyatt,
Wyndham Hotels & Resorts,wyndham hotels & resorts,Dolce Hotels and Resorts by Wyndham,dolce hotels and resorts by wyndham,Endorsed Brand,Midscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://wyndham.com,https://wyndham.com,yes,1,,7. Wyndham,
InterContinental Hotels Group,intercontinental hotels group,Garner,garner,Masterbrand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://ihg.com,https://ihg.com,yes,1,,2. IHG,
Sonesta International Hotels Corporation,sonesta international hotels corporation,Sonesta Select,sonesta select,Masterbrand,Upscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://sonesta.com/sonesta-select,https://sonesta.com/sonesta-select,yes,1,,15. Other regional / independent operators,
"Marriott International, Inc.",marriott international,Delta Hotels by Marriott,delta hotels by marriott,Masterbrand,Upscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com/en-us/hotels/travel/delta,https://marriott.com/en-us/hotels/travel/delta,yes,1,,3. Marriott International,
Wyndham Hotels & Resorts,wyndham hotels & resorts,Dazzler by Wyndham,dazzler by wyndham,Endorsed Brand,Upscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://wyndham.com,https://wyndham.com,yes,1,,7. Wyndham,
BWH Hotels,bwh hotels,Best Western Plus,best western plus,Masterbrand,Upper Midscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,
BWH Hotels,bwh hotels,Best Western,best western,Masterbrand,Midscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,
"Marriott International, Inc.",marriott international,Protea Hotels by Marriott,protea hotels by marriott,Endorsed Brand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
"Marriott International, Inc.",marriott international,Bulgari,bulgari,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
"Marriott International, Inc.",marriott international,Edition,edition,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
"Marriott International, Inc.",marriott international,Courtyard by Marriott,courtyard by marriott,Endorsed Brand,Upper Upscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com/en-us/hotels/travel/courtyard,https://marriott.com/en-us/hotels/travel/courtyard,yes,3,,3. Marriott International,
Hyatt Hotels Corporation,hyatt hotels corporation,Dreams Resorts & Spas,dreams resorts & spas,Masterbrand,Luxury,All-Inclusive,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hyatt.com/dreams,https://hyatt.com/dreams,yes,1,,5. Hyatt,
Sonesta International Hotels Corporation,sonesta international hotels corporation,Canadas Best Value Inn,canadas best value inn,Soft/Collection Brand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://canadasbestvalueinn.com,https://canadasbestvalueinn.com,yes,1,,15. Other regional / independent operators,
Wyndham Hotels & Resorts,wyndham hotels & resorts,Registry Collection Hotels,registry collection hotels,Soft/Collection Brand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://wyndham.com,https://wyndham.com,yes,1,,7. Wyndham,
Hyatt Vacation Ownership,hyatt vacation ownership,Hyatt,hyatt,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hyatt.com,https://hyatt.com,yes,1,,5. Hyatt,
AccorHotels,accorhotels,Peppers,peppers,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
AccorHotels,accorhotels,The House of Originals,the house of originals,Soft/Collection Brand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,6. Accor,
AccorHotels,accorhotels,Handwritten Collection,handwritten collection,Soft/Collection Brand,Upper Midscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
Hilton Worldwide,hilton worldwide,Conrad Hotels & Resorts,conrad hotels & resorts,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hilton.com,https://hilton.com,yes,1,,4. Hilton,
Sonesta International Hotels Corporation,sonesta international hotels corporation,Sonesta Cruise Collection,sonesta cruise collection,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,
AccorHotels,accorhotels,hotelF1,hotelf1,Masterbrand,Economy,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
BWH Hotels,bwh hotels,Vīb by Best Western,vib by best western,Endorsed Brand,Upscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,
"Marriott International, Inc.",marriott international,Residence Inn by Marriott,residence inn by marriott,Endorsed Brand,Upscale,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
BWH Hotels,bwh hotels,SureStay Collection by Best Western,surestay collection by best western,Endorsed Brand,Economy,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,
"Marriott International, Inc.",marriott international,AC Hotels by Marriott,ac hotels by marriott,Endorsed Brand,Upscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com/en-us/brands/ac-hotels,https://marriott.com/en-us/brands/ac-hotels,yes,4,,3. Marriott International,
Choice Hotels International,choice hotels,Cambria Hotels,cambria hotels,Masterbrand,Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://choicehotels.com/cambria,https://choicehotels.com/cambria,yes,1,,1. Choice Hotels,
Wyndham Hotels & Resorts,wyndham hotels & resorts,Super 8 by Wyndham,super 8 by wyndham,Endorsed Brand,Economy,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://wyndham.com,https://wyndham.com,yes,1,,7. Wyndham,
"Marriott International, Inc.",marriott international,SpringHill Suites by Marriott,springhill suites by marriott,Endorsed Brand,Upscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
InterContinental Hotels Group,intercontinental hotels group,InterContinental,intercontinental,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://ihg.com,https://ihg.com,yes,1,,2. IHG,
InterContinental Hotels Group,intercontinental hotels group,Kimpton Hotels,kimpton hotels,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://ihg.com,https://ihg.com,yes,1,,2. IHG,
"Red Roof Franchise, UK","red roof franchise, uk",Red Roof PLUS+,red roof plus+,Masterbrand,Economy,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://redroof.com,https://redroof.com,yes,1,,15. Other regional / independent operators,
"Marriott International, Inc.",marriott international,Element by Westin,element by westin,Endorsed Brand,Upscale,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
"Marriott International, Inc.",marriott international,Tribute Portfolio,tribute portfolio,Soft/Collection Brand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
"Marriott International, Inc.",marriott international,StudioRes,studiores,Masterbrand,Upper Upscale,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
Hyatt Hotels Corporation,hyatt hotels corporation,Unbound Collection by Hyatt,unbound collection by hyatt,Endorsed Brand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hyatt.com,https://hyatt.com,yes,1,,5. Hyatt,
"Red Roof Franchise, UK","red roof franchise, uk",Red Roof,red roof,Masterbrand,Economy,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://redroof.com,https://redroof.com,yes,1,,15. Other regional / independent operators,
InterContinental Hotels Group,intercontinental hotels group,Vignette Collection,vignette collection,Soft/Collection Brand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://ihg.com,https://ihg.com,yes,1,,2. IHG,
Wyndham Hotels & Resorts,wyndham hotels & resorts,Esplendor by Wyndham,esplendor by wyndham,Endorsed Brand,Midscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://wyndham.com,https://wyndham.com,yes,1,,7. Wyndham,
"Marriott International, Inc.",marriott international,Autograph Collection,autograph collection,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com/en-us/brands/autograph-collection,https://marriott.com/en-us/brands/autograph-collection,yes,1,,3. Marriott International,
Sonesta International Hotels Corporation,sonesta international hotels corporation,Sonesta ES Suites,sonesta es suites,Masterbrand,Upper Midscale,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://sonesta.com/sonesta-es-suites,https://sonesta.com/sonesta-es-suites,yes,1,,15. Other regional / independent operators,
BWH Hotels,bwh hotels,Best Western Premier,best western premier,Masterbrand,Upscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,
AccorHotels,accorhotels,ibis Styles,ibis styles,Masterbrand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://accor.com,https://accor.com,yes,1,,6. Accor,
Radisson Hotel Group,radisson hotel group,Radisson RED,radisson red,Masterbrand,Upper Upscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://radissonhotels.com,https://radissonhotels.com,yes,1,,8. Radisson / legacy Radisson,
"Marriott International, Inc.",marriott international,Gaylord Hotels,gaylord hotels,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
AccorHotels,accorhotels,Pullman,pullman,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
AccorHotels,accorhotels,Delano,delano,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
Hyatt Hotels Corporation,hyatt hotels corporation,Grand Hyatt,grand hyatt,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hyatt.com,https://hyatt.com,yes,1,,5. Hyatt,
AccorHotels,accorhotels,Greet,greet,Masterbrand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
Hyatt Hotels Corporation,hyatt hotels corporation,Bunkhouse Hotels,bunkhouse hotels,Soft/Collection Brand,Upper Upscale,Lifestyle / Boutique,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://bunkhousegroup.com,https://bunkhousegroup.com,yes,1,,5. Hyatt,
"Marriott International, Inc.",marriott international,Four Points by Sheraton,four points by sheraton,Endorsed Brand,Upscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
Hyatt Hotels Corporation,hyatt hotels corporation,Sunscape Resorts & Spas,sunscape resorts & spas,Masterbrand,Upper Upscale,All-Inclusive,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://sunscaperesorts.com,https://sunscaperesorts.com,yes,1,,5. Hyatt,
"Marriott International, Inc.",marriott international,Westin,westin,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
BWH Hotels,bwh hotels,SureStay Hotel by Best Western,surestay hotel by best western,Endorsed Brand,Economy,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,
AccorHotels,accorhotels,Morgans Originals,morgans originals,Masterbrand,Upper Upscale,Lifestyle / Boutique,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
Wyndham Hotels & Resorts,wyndham hotels & resorts,Microtel by Wyndham,microtel by wyndham,Endorsed Brand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://wyndham.com,https://wyndham.com,yes,1,,7. Wyndham,
"Marriott International, Inc.",marriott international,Aloft Hotels,aloft hotels,Masterbrand,Upper Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
Hilton Worldwide,hilton worldwide,Tru by Hilton,tru by hilton,Endorsed Brand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hilton.com,https://hilton.com,yes,1,,4. Hilton,
Minor Hotel Group Limited,minor hotel group limited,Anantara,anantara,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://minorhotels.com,https://minorhotels.com,yes,1,,15. Other regional / independent operators,
Hilton Worldwide,hilton worldwide,Signia by Hilton,signia by hilton,Endorsed Brand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hilton.com,https://hilton.com,yes,1,,4. Hilton,
AccorHotels,accorhotels,Sofitel,sofitel,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
AccorHotels,accorhotels,Fairmont,fairmont,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
Staycity Ltd,staycity ltd,Staycity Aparthotels,staycity aparthotels,Masterbrand,Upscale,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://staycity.com,https://staycity.com,yes,1,,15. Other regional / independent operators,
AccorHotels,accorhotels,25Hours Hotel,25hours hotel,Masterbrand,Upscale,Lifestyle / Boutique,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://25hours-hotels.com/,https://25hours-hotels.com/,yes,1,,6. Accor,
Choice Hotels International,choice hotels,Park Inn by Radisson (Choice),park inn by radisson (choice),Endorsed Brand,Upper Midscale,Select-Service,CALA-relevant (Caribbean & Latin America; North America),yes (derived from Brand Status),Active,https://choicehotels.com/park-inn,https://choicehotels.com/park-inn,yes,5,,1. Choice Hotels,
BWH Hotels,bwh hotels,Glō by Best Western,glo by best western,Endorsed Brand,Upper Midscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,
Wyndham Hotels & Resorts,wyndham hotels & resorts,Days Inn by Wyndham,days inn by wyndham,Endorsed Brand,Economy,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://wyndham.com,https://wyndham.com,yes,1,,7. Wyndham,
"Marriott International, Inc.",marriott international,Le Meridien,le meridien,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://marriott.com,https://marriott.com,yes,1,,3. Marriott International,
Hyatt Hotels Corporation,hyatt hotels corporation,Secrets Resorts & Spas,secrets resorts & spas,Masterbrand,Luxury,All-Inclusive,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://hyatt.com,https://hyatt.com,yes,1,,5. Hyatt,
Banyan Tree Hotels & Resorts,banyan tree hotels & resorts,Banyan Tree,banyan tree,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,
Radisson Hotel Group,radisson hotel group,Prize by Radisson,prize by radisson,Masterbrand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://radissonhotels.com,https://radissonhotels.com,yes,1,,8. Radisson / legacy Radisson,
Hyatt Hotels Corporation,hyatt hotels corporation,Hyatt Centric,hyatt centric,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hyatt.com,https://hyatt.com,yes,1,,5. Hyatt,
"Red Roof Franchise, UK","red roof franchise, uk",HomeTowne Studios by Red Roof,hometowne studios by red roof,Endorsed Brand,Economy,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://redroof.com,https://redroof.com,yes,1,,15. Other regional / independent operators,
Choice Hotels International,choice hotels,Comfort Inn & Suites,comfort inn & suites,Masterbrand,Upper Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://choicehotels.com/comfort-hotels,https://choicehotels.com/comfort-hotels,yes,4,,1. Choice Hotels,
Hyatt Hotels Corporation,hyatt hotels corporation,Hyatt Regency,hyatt regency,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hyatt.com,https://hyatt.com,yes,1,,5. Hyatt,
Choice Hotels International,choice hotels,Radisson Collection  (Choice),radisson collection  (choice),Soft/Collection Brand,Upper Upscale,Full-Service,CALA-relevant (Caribbean & Latin America; North America),yes (derived from Brand Status),Active,https://choicehotels.com,https://choicehotels.com,yes,1,,1. Choice Hotels,
AccorHotels,accorhotels,Mondrian,mondrian,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
Rosewood Hotel Group,rosewood hotel group,Rosewood Hotel Group,rosewood hotel group,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://rosewoodhotels.com,https://rosewoodhotels.com,yes,1,,15. Other regional / independent operators,
Hilton Worldwide,hilton worldwide,Hilton Grand Vacations,hilton grand vacations,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hilton.com,https://hilton.com,yes,1,,4. Hilton,
BWH Hotels,bwh hotels,Aiden by Best Western,aiden by best western,Endorsed Brand,Upscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,
