airtable_table_name,airtable_table_id,airtable_field_name,airtable_field_id,airtable_field_type,select_options,read_by_code_current,written_by_code_current,appears_in_ui_current,appears_in_snapshot_current,appears_in_scoring_current,classification,evidence_current_source,evidence_prior_report,conflict_prior_vs_current,confirmation_status
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,Source Type,fldufVtbyqneWhdW2,multipleSelects,,Yes,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,Last Updated Date,fldadArs8rmHfepiM,date,,Yes,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,System/link/derived,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,Explorer Hero Verification,fld1l0gPxLKFKDVsg,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,,,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,Explorer Hero Data Source,fld0BVJiRYw2Jz28w,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,,,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,Users,fldNOYwkK8upif4F3,multipleRecordLinks,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,,,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,Operator Deal Requests,fldiiAK0KwbVih9XB,multipleRecordLinks,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,,,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,Operator Setup - Explorer Materials,fldLJP4S3CZCiKejX,multipleRecordLinks,,Yes,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,company_name,fldNzw2TOwRlVFMqR,singleLineText,,Yes,Yes/Partial,No/Unclear,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,Operator,fldEjrDeUzEpYSKNl,multipleRecordLinks,,Yes,Yes/Partial,Yes,Yes/Partial,Yes/Partial,System/link/derived,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,companyDescription,fldvFhTCquGafCtAi,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,website,fldUUNUYleuseFYmH,url,,Yes,Yes/Partial,Yes,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,headquarters,fldP7lCHTMToePlP1,singleLineText,,Yes,Yes/Partial,Yes,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,companySize,fldz5ghaGvL50YPeV,singleSelect,,Yes,Yes/Partial,Yes,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,companyTagline,fld8loEGpPId9scBF,singleLineText,,Yes,Yes/Partial,Yes,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,companyHistory,fldyZdtwGfeZDwNZ9,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,differentiators,fldiZGr5vWOpK1c3h,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,managementPhilosophy,fldYnmA3FJOgLC0C5,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,missionStatement,fldcxzT6hvVbLsNyD,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,primaryServiceModel,fldNCwIW4yTxcIpBb,singleSelect,,Yes,Yes/Partial,Yes,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,brands,fldGXNbf6Ngb65EJF,multipleRecordLinks,,Yes,Yes/Partial,Yes,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,additionalBrands,fldbnGnnM04zwpHBH,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,chainScalesSupported,fldzk1SloA6Rd0N1h,multipleSelects,,Yes,Yes/Partial,Yes,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,companyLogo,fldoU2Ygs8wCG4csQ,multipleAttachments,,Yes,Yes/Partial,Yes,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,propertyTypes,fld88xJ3ZxBcbruIM,multipleSelects,,Yes,Yes/Partial,Yes,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,additionalExperience,fldiyhoio4HoXJqZo,multipleSelects,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,emergencyResponse,fldwlYyzIzX6R8DKu,singleSelect,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,businessContinuity,fldcil3uETISXaAid,singleSelect,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,support24x7,fldh4ayPsSyTClEd6,singleSelect,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,crisisExperience,fldRXY0vqFrJjjSLw,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,insuranceCoverage,fldSxpmYApm4SBDko,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,sustainabilityPrograms,fldwYbqMhJuCbCHZA,singleSelect,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,esgReporting,fldLpVNfwWJXzVnYx,singleSelect,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,carbonTracking,fldmFCUbAJHnj2suV,singleSelect,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,energyEfficiency,fldO3GQ5SKKbuIgwc,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,wasteReduction,fldf5paimrRLjbL39,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,overview_bestat_1_headline,fld2dKGSnIIT2U58r,singleLineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,overview_bestat_1_story,fldbcIdr1QvwOQ4Oy,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,overview_bestat_2_headline,fldALGAIDnETPiE5p,singleLineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,overview_bestat_2_story,fldHIITRFbdtdQ35M,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,overview_bestat_3_headline,fldMlPIryCMieRQ8c,singleLineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,overview_bestat_3_story,fldSjGg2XbS9kBltU,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,overview_why_1_headline,fldq7qpEwHS9uSpO9,singleLineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,overview_why_1_story,fldE991QtE9tqHbar,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,overview_why_2_headline,fldjrTwUSoajMOSKn,singleLineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,overview_why_2_story,fld7wVs5xE6qNEyVy,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,overview_why_3_headline,fld9LWiQbtolAawv7,singleLineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,overview_why_3_story,fldMVVnP5KufWR6Yk,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,overview_signal_1_value,fldJmNhIyskQxiiUH,singleLineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,overview_signal_2_value,fldwMylQ9EN9eRzA9,singleLineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,overview_signal_3_value,fldniyjXoRFiDuFBX,singleLineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,brand_narrative_compliance,fldwADmUylekcpvm3,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,brand_narrative_relationship,fldTtLWPBa0Rm1FIe,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,brand_signal_audit,fldgt8ubSe4rW1lQT,singleSelect,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,brand_signal_reflag,fld8pNWHPRyut8nE9,singleSelect,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,brand_signal_franchise_align,fldnfefJVHuPVeOiD,singleSelect,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,brand_signal_soft_retention,fldfEkLFWtl4vQr1s,singleSelect,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,figuresAsOf,fldwPEYr38tAqqbSc,singleLineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,capitalStatus,fldgtvDJjyUA80PuE,multipleSelects,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,yearEstablished,fldIdNlCYj3SPA94S,number,,Yes,Yes/Partial,Yes,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,yearsInBusiness,fldNvJ6kpaA81UuUD,number,,Yes,Yes/Partial,Yes,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,numberOfBrands,fldmgzcPo6noJ5aWg,number,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,locationTypeResort,fld9VBjm5rCRK4afn,number,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,locationTypeAirport,fldqyv6YSOj2NpFVS,number,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,marketExpansionRampTimeMonths,fldwZMgbuVx5jAcRq,number,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,readyForInvestorPublication,fldO9InVasdfBVDQt,checkbox,,No/Unclear,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,Service Models Supported,fldYTHVkG5Eo0MP3T,multipleSelects,,Yes,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,Brand Families Operated,fldSiz2QqXCMpDlWS,multipleSelects,,No/Unclear,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,Soft Brand / Lifestyle Experience,fldrDgenikKskZfKk,singleSelect,,Yes,Yes/Partial,No/Unclear,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,brand_portfolio_mix_json,fldHi4mARlepoSReT,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,brand_relationship_depth_json,fldD9DI6BmCuFva0c,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,brand_execution_capabilities_json,fldD4bBsvuftnDDlL,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,brand_governance_compliance_json,fldJztmbb0t1hlGWM,multilineText,,Yes,Yes/Partial,Yes,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,,,Partially Confirmed (schema + code scans)
Operator Setup - Profile & Positioning,tblNHCPoYI7Dz23wK,brand_soft_independent_narrative,fldgaZ5a648a1YqeL,multilineText,,No/Unclear,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,,,Partially Confirmed (schema + code scans)
