formKey,inBindings,airtableField,fieldType,selectOptions
"mkt_market_fit_signals_json","Yes","mkt_market_fit_signals_json","multilineText",""
"mkt_regional_expertise_json","Yes","mkt_regional_expertise_json","multilineText",""
"mkt_signal_gateway","Yes","Gateway Market Concentration","singleLineText",""
"mkt_signal_mix","Yes","Urban / Resort Mix","singleLineText",""
"mkt_signal_years","Yes","Avg. Years in Core Markets","singleLineText",""
"noiImprovement","No","NOI Improvement","",""
"numberOfBrands","No","Number of Brands Supported","",""
"op_commercial_engine_json","Yes","op_commercial_engine_json","multilineText",""
"op_conversion_repositioning_json","Yes","op_conversion_repositioning_json","multilineText",""
"op_fb_lifestyle_resort_json","Yes","op_fb_lifestyle_resort_json","multilineText",""
"op_owner_reporting_json","Yes","op_owner_reporting_json","multilineText",""
"op_preopening_transition_json","Yes","op_preopening_transition_json","multilineText",""
"operatingCollaborationMode","No","Operating Collaboration Mode","",""
"operatorId","No","","",""
"operator_materials_gallery_json","Yes","operator_materials_gallery_json","multilineText",""
"operator_materials_json","Yes","operator_materials_json","multilineText",""
"ov_controls_governance_json","Yes","ov_controls_governance_json","multilineText",""
"ov_engagement_cadence_json","Yes","ov_engagement_cadence_json","multilineText",""
"ov_lifecycle_support_json","Yes","ov_lifecycle_support_json","multilineText",""
"ov_owner_tools_json","Yes","ov_owner_tools_json","multilineText",""
"ov_q_touchpoints","Yes","Review touchpoints / quarter","number",""
"ov_reports_received_json","Yes","ov_reports_received_json","multilineText",""
"ov_strategic_owner_value_json","Yes","ov_strategic_owner_value_json","multilineText",""
"overview_bestat_1_headline","No","","",""
"overview_bestat_1_story","No","","",""
"overview_bestat_2_headline","No","","",""
"overview_bestat_2_story","No","","",""
"overview_bestat_3_headline","No","","",""
"overview_bestat_3_story","No","","",""
"overview_why_1_headline","No","","",""
"overview_why_1_story","No","","",""
"overview_why_2_headline","No","","",""
"overview_why_2_story","No","","",""
"overview_why_3_headline","No","","",""
"overview_why_3_story","No","","",""
"ownerDiligenceQa","No","","",""
"ownerInvolvement","No","Owner Involvement","",""
"ownerPortal","No","Owner Portal","",""
"ownerPortalFeatures","No","Owner Portal Features","",""
"ownerReportingCadence","No","","",""
"ownerReportingLevel","Yes","Owner Reporting Level","singleSelect","Basic owner reporting|Monthly operating review|Institutional reporting|Lender / investor-grade reporting|Custom / project-specific|Unknown"
"ownerResponseTime","No","Typical Response Time for Owner Inquiries","",""
"owner_portal","No","","",""
"platformTechnology","No","","",""
"primaryServiceModel","No","Primary Service Model","",""
"reportingFrequency","No","Reporting Frequency","",""
"risk_signal_audit","Yes","Audit Pass Consistency","singleSelect","Not Measured / N/A|Below 85%|85–89%|90–94%|95%+|99%+"
"risk_signal_bcp","Yes","Bcp Test Frequency","singleSelect","Not Measured / N/A|Monthly|Quarterly|Semi-Annual|Annual|Every 2+ Years|Ad hoc / event-driven"
"risk_signal_control","Yes","Control Closure Rate","singleSelect","Not Measured / N/A|95%+ closed on time|90–94% closed on time|80–89% closed on time|70–79% closed on time|Below 70%"
"risk_signal_insurance","Yes","Insurance Adequacy Review","singleSelect","Not Measured / N/A|Monthly|Quarterly|Semi-Annual|Annual|Biennial|As needed / event-driven"
"totalProperties","No","Total Properties Managed","",""
"totalRooms","No","Total Rooms Managed","",""
"tr_signal_adr","Yes","ADR Index Stabilization","singleSelect","Not Measured / N/A|Under 90 Days|3–6 Months|6–9 Months|9–12 Months|12–18 Months|18+ Months"
"tr_signal_occ","Yes","Occupancy Recovery Window","singleSelect","Not Measured / N/A|Under 90 Days|3–6 Months|6–9 Months|9–12 Months|12–18 Months|18–24 Months|24+ Months|Varies Widely by Asset / Situation"
"tr_signal_repeat","Yes","Case Outcome Repeatability","singleSelect","High|Strong|Very Strong|Moderate-High|Medium|Low|Emerging"
"tr_signal_revpar","Yes","RevPAR Lift Range","singleSelect","Negative or Flat|Low Single-Digit (+1–5%)|Mid Single-Digit (+6–10%)|Low Double-Digit (+11–15%)|Mid Double-Digit (+16–25%)|High Double-Digit (26%+)|Wide Dispersion Across Portfolio"
"typicalAgreement","No","","",""
"website","No","Website","",""
"yearEstablished","No","Year Established","",""
"yearsInBusiness","No","Years in Business","",""
